,FERIDOS GRAVES,,,,,,,
,Feminino,,Masculino,,N.D.,,TOTAL,
,2016,2017,2016,2017,2016,2017,2016,2017
,,,,,,,,
<=14,0,0,12,8,0,0,12,8
15-19,2,8,56,63,0,0,58,71
20-24,24,22,105,120,0,0,129,142
25-29,20,24,105,88,0,0,125,112
30-34,14,16,87,98,0,0,101,114
35-39,14,19,102,118,0,0,116,137
40-44,16,20,103,122,0,0,119,142
45-49,16,19,87,100,0,0,103,119
50-54,19,16,94,93,0,0,113,109
55-59,12,14,77,79,0,0,89,93
60-64,9,11,60,69,0,0,69,80
65-69,11,10,44,57,0,0,55,67
70-74,4,9,46,51,0,0,50,60
>=75,9,4,73,75,0,0,82,79
TOTAL,170,192,1051,1141,0,0,1221,1333
