2017: Condutores vítimas mortais e feridos graves segundo o período horário
"Vítimas mortais
Feridos graves
28 14 57 44 66 74 72 43
62 59 139 175 210 291 264 133
00-03 03-06 06-09 09-12 12-15 15-18 18-21 21-24"
