,VÍTIMAS MORTAIS,,,,,,,
,Feminino,,Masculino,,N.D.,,TOTAL,
,2016,2017,2016,2017,2016,2017,2016,2017
,,,,,,,,
<=14,1,1,2,1,0,0,3,2
15-19,3,3,3,2,0,0,6,5
20-24,2,4,7,4,0,0,9,8
25-29,2,0,5,3,0,0,7,3
30-34,3,0,5,4,0,0,8,4
35-39,1,3,0,5,0,0,1,8
40-44,0,1,3,1,0,0,3,2
45-49,2,2,3,3,0,0,5,5
50-54,2,2,3,3,0,0,5,5
55-59,2,1,1,2,0,0,3,3
60-64,4,5,5,0,0,0,9,5
65-69,6,5,2,0,0,0,8,5
70-74,5,1,1,2,0,0,6,3
>=75,15,14,4,2,0,0,19,16
TOTAL,48,42,44,32,0,0,92,74
