,,TOTAL DE VÍTIMAS,,,,,,,,,,,,,
,,<=14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,>=65,N.D.,TOTAL
Peões,2016,666,428,308,250,213,244,267,318,330,386,378,1749,0,5537
,2017,606,442,313,265,198,212,299,352,364,416,401,1780,3,5651
,17-16,,,,,,,,,,,,,,
Veíc. Ligeiros *,2016,1539,1342,3189,2543,2262,2206,2169,1846,1776,1515,1298,3757,2,25444
,2017,1559,1542,3281,2545,2188,2153,2328,2062,1820,1693,1402,4020,5,26598
,17-16,,,,,,,,,,,,,,
Veíc. Pesados *,2016,46,34,27,29,40,57,54,63,81,63,44,57,1,596
,2017,21,25,32,40,45,66,80,81,78,65,55,59,0,647
,17-16,,,,,,,,,,,,,,
Velocípedes *,2016,124,216,124,109,135,170,169,164,164,141,126,238,2,1882
,2017,155,216,133,103,150,177,188,196,170,143,114,291,0,2036
,17-16,,,,,,,,,,,,,,
Ciclomotores *,2016,27,278,204,158,113,140,210,224,292,262,227,624,1,2760
,2017,26,333,278,155,113,149,250,261,295,266,251,589,1,2967
,17-16,,,,,,,,,,,,,,
Motociclos *,2016,27,518,491,674,632,641,562,419,373,218,150,175,1,4881
,2017,29,630,596,909,770,724,704,538,389,270,185,207,3,5954
,17-16,,,,,,,,,,,,,,
Outros *,2016,14,25,33,42,30,19,28,29,38,34,40,234,0,566
,2017,14,19,34,29,40,24,37,46,50,44,50,253,0,640
,17-16,,,,,,,,,,,,,0,
N.D.,2016,0,0,0,1,0,0,1,0,0,0,0,0,0,2
,2017,0,1,0,0,0,0,0,0,1,0,0,0,0,2
,17-16,0,,0,,0,0,,0,,0,0,0,0,
TOTAL,2016,2443,2841,4376,3806,3425,3477,3460,3063,3054,2619,2263,6834,7,41668
,2017,2410,3208,4667,4046,3504,3505,3886,3536,3167,2897,2458,7199,12,44495
,17-16,,,,,,,,,,,,,,
