,TOTAL DE VÍTIMAS,,,,,,,
,Feminino,,Masculino,,N.D.,,TOTAL,
,2016,2017,2016,2017,2016,2017,2016,2017
,,,,,,,,
<=14,832,870,821,789,0,0,1653,1659
15-19,635,675,491,487,0,0,1126,1162
20-24,688,687,486,528,0,0,1174,1215
25-29,466,505,339,319,0,0,805,824
30-34,369,381,232,251,0,0,601,632
35-39,357,353,187,197,0,0,544,550
40-44,392,419,155,171,0,0,547,590
45-49,360,414,149,172,0,0,509,586
50-54,408,427,139,172,0,0,547,599
55-59,396,439,114,141,0,0,510,580
60-64,393,415,95,97,0,0,488,512
65-69,399,433,91,102,0,0,490,535
70-74,340,359,69,79,0,0,409,438
>=75,517,593,169,156,0,0,686,749
TOTAL,6552,6970,3537,3661,0,0,10089,10631
