,,"Atropelamento
2016","Atropelamento
2017","Colisão
2016","Colisão
2017","Despiste
2016","Despiste
2017","Total
veículos (V)
2016","Total
veículos (V)
2017","Veículos
circulação
(Vci)","V/1000
Vci
2017"
Veíc. Ligeiros,Passageiros,3667,3844,22989,24947,5887,6029,32543,34820,0,0
,Mercadorias,872,840,5294,5353,1269,1233,7435,7426,0,0
,Outros,59,55,344,284,101,78,504,417,0,0
,N.D.,98,104,43,50,4,11,145,165,0,0
,Total,4696,4843,28670,30634,7261,7351,40627,42828,5456974,8
Veíc. Pesados,Passageiros,98,92,311,331,17,14,426,437,0,0
,Mercadorias,56,46,628,733,121,130,805,909,0,0
,Outros,20,20,219,226,51,64,290,310,0,0
,N.D.,0,0,1,1,0,0,1,1,0,0
,Total,174,158,1159,1291,189,208,1522,1657,129453,13
Velocípedes,,84,93,1468,1554,404,481,1956,2128,0,0
Ciclomotores,,74,62,1555,1638,1032,1182,2661,2882,0,0
Motociclos,,159,148,2867,3465,1711,2145,4737,5758,219809,26
Outros,,87,66,331,368,282,327,700,761,0,0
N.D.,,56,85,49,77,3,5,108,167,0,0
TOTAL,,5330,5455,36099,39027,10882,11699,52311,56181,0,0
