,FERIDOS GRAVES,,,,,,,
,Feminino,,Masculino,,N.D.,,TOTAL,
,2016,2017,2016,2017,2016,2017,2016,2017
,,,,,,,,
<=5,5,5,4,2,0,0,9,7
6-9,6,1,6,4,0,0,12,5
10-14,12,8,14,8,0,0,26,16
15-19,8,9,13,14,0,0,21,23
20-24,6,4,11,13,0,0,17,17
25-29,6,6,10,4,0,0,16,10
30-34,3,2,3,8,0,0,6,10
35-39,6,6,8,6,0,0,14,12
40-44,6,10,12,12,0,0,18,22
45-49,6,8,14,14,0,0,20,22
50-54,8,16,10,12,0,0,18,28
55-59,15,10,22,20,0,0,37,30
60-64,12,12,14,15,0,0,26,27
65-69,14,10,13,14,0,0,27,24
70-74,27,20,21,19,0,0,48,39
>=75,52,54,35,46,0,0,87,100
N.D.,0,1,0,0,0,0,0,1
TOTAL,192,182,210,211,0,0,402,393
