,FERIDOS LEVES,,,,,,,
,Feminino,,Masculino,,N.D.,,TOTAL,
,2016,2017,2016,2017,2016,2017,2016,2017
,,,,,,,,
<=14,812,852,800,774,0,0,1612,1626
15-19,611,653,469,466,0,0,1080,1119
20-24,669,673,449,493,0,0,1118,1166
25-29,445,487,315,290,0,0,760,777
30-34,352,373,210,231,0,0,562,604
35-39,341,345,177,176,0,0,518,521
40-44,377,410,144,163,0,0,521,573
45-49,349,397,142,154,0,0,491,551
50-54,398,413,133,158,0,0,531,571
55-59,381,426,105,126,0,0,486,552
60-64,383,397,83,93,0,0,466,490
65-69,377,412,84,96,0,0,461,508
70-74,323,340,64,73,0,0,387,413
>=75,480,550,148,145,0,0,628,695
TOTAL,6298,6728,3323,3438,0,0,9621,10166
