2017: Acidentes com vítimas segundo o tipo de via (%)
"Arruamento 60,4%
Autoestrada 5,6%
Estrada Municipal 6,5%
Estrada Nacional 20,6%
IP/IC 3,5%
Outra Via 3,4%"
