Quadro 6.5 Condutores vítimas em Portugal por período horário,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Período horário,VM,,,,FG,,,,FL,,,,Total de condutores vítimas,,,
,2019,2023,2024,∆(%) 24/23,2019,2023,2024,∆(%) 24/23,2019,2023,2024,∆(%) 24/23,2019,2023,2024,∆(%) 24/23
[00:00-03:00[,27,33,29,-0.12121212121212122,108,98,91,-0.0714285714285714,1060,985,1036,0.05177664974619289,1195,1116,1156,0.03584229390680993
[03:00-06:00[,16,22,24,0.09090909090909083,64,76,47,-0.381578947368421,606,606,616,0.01650165016501659,686,704,687,-0.024147727272727293
[06:00-09:00[,40,46,53,0.15217391304347827,136,160,180,0.125,3372,3319,3630,0.09370292256703827,3548,3525,3863,0.095886524822695
[09:00-12:00[,47,54,45,-0.16666666666666663,191,206,214,0.03883495145631066,4705,4766,5051,0.059798573227024754,4943,5026,5310,0.05650616792678065
[12:00-15:00[,50,62,62,0,209,319,301,-0.056426332288401215,5267,5360,5575,0.04011194029850751,5526,5741,5938,0.03431457934157822
[15:00-18:00[,82,74,83,0.12162162162162171,300,407,383,-0.05896805896805901,5904,6273,6402,0.020564323290291675,6286,6754,6868,0.016878886585727004
[18:00-21:00[,91,99,85,-0.14141414141414144,327,360,382,0.061111111111111116,5523,5528,5582,0.00976845151953687,5941,5987,6049,0.01035577083681316
[21:00-00:00[,50,38,50,0.3157894736842106,180,158,177,0.120253164556962,2439,2187,2371,0.0841335162322816,2669,2383,2598,0.09022240872849352
Total,403,428,431,0.007009345794392496,1515,1784,1775,-0.005044843049327397,28876,29024,30263,0.04268880926130092,30794,31236,32469,0.03947368421052633
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
