Quadro 4.11 Peões vítimas em Portugal por ação do peão,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Ação,VM,,,,FG,,,,FL,,,,Total de peões vítimas,,,
,2019,2023,2024,∆(%) 24/23,2019,2023,2024,∆(%) 24/23,2019,2023,2024,∆(%) 24/23,2019,2023,2024,∆(%) 24/23
Em plena faixa de rodagem,48,35,31,-0.11428571428571432,78,46,67,0.4565217391304348,585,531,577,0.08662900188323919,711,612,675,0.10294117647058831
Atravessando em passagem sinalizada,21,20,18,-0.09999999999999998,145,126,153,0.2142857142857142,2481,2159,2327,0.07781380268642901,2647,2305,2498,0.0837310195227765
Transitando pela berma ou passeio,22,14,17,0.2142857142857142,40,35,50,0.4285714285714286,487,443,456,0.02934537246049662,549,492,523,0.0630081300813008
Atravessando fora da passagem de peões a mais de 50m de uma passagem ou quando não exista passagem,19,15,9,-0.4,55,32,37,0.15625,401,300,306,0.020000000000000018,475,347,352,0.014409221902017322
"Atravessando fora da passagem de peões, a menos de 50m de uma passagem",8,9,14,0.5555555555555556,44,40,52,0.30000000000000004,541,444,471,0.060810810810810745,593,493,537,0.08924949290060846
A sair ou entrar num veículo,3,5,6,0.19999999999999996,17,15,14,-0.06666666666666665,153,149,156,0.046979865771812124,173,169,176,0.041420118343195256
Surgindo inesperadamente na faixa de rodagem de trás de um obstáculo,7,4,5,0.25,30,19,20,0.05263157894736836,297,215,206,-0.041860465116279055,334,238,231,-0.02941176470588236
Transitando pela esquerda da faixa de rodagem,1,3,2,-0.33333333333333337,8,6,4,-0.33333333333333337,68,47,58,0.23404255319148937,77,56,64,0.1428571428571428
Transitando pela direita da faixa de rodagem,6,2,7,2.5,14,10,10,0,131,125,109,-0.128,151,137,126,-0.08029197080291972
Atravessando em passagem sinalizada com desrespeito da sinalização semafórica,2,2,0,-1,6,5,4,-0.19999999999999996,111,91,69,-0.2417582417582418,119,98,73,-0.2551020408163265
Em trabalhos na via,1,0,1,-,9,7,10,0.4285714285714286,59,63,48,-0.23809523809523814,69,70,59,-0.15714285714285714
Em ilhéu ou refúgio na via,1,0,1,-,4,8,4,-0.5,49,51,41,-0.196078431372549,54,59,46,-0.22033898305084743
n.d.,1,0,0,-,0,1,1,0,28,30,23,-0.23333333333333328,29,31,24,-0.22580645161290325
Total,140,109,111,0.0183486238532109,450,350,426,0.21714285714285708,5391,4648,4847,0.042814113597246184,5981,5107,5384,0.05423927942040341
n.d. - não definido,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
