Quadro 1.1 Sinistralidade em Portugal por mês,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Mês,AcV,,,,VM,,,,FG,,,,FL,,,
,2019,2023,2024,∆(%) 24/23,2019,2023,2024,∆(%) 24/23,2019,2023,2024,∆(%) 24/23,2019,2023,2024,∆(%) 24/23
Jan,2953,2780,2798,0.006474820143884896,68,57,45,-0.21052631578947367,155,177,187,0.05649717514124286,3515,3252,3245,-0.0021525215252152785
Fev,2470,2423,2720,0.12257531985142389,48,46,41,-0.10869565217391308,140,161,176,0.0931677018633541,2937,2795,3199,0.14454382826475842
Mar,2998,2800,2768,-0.011428571428571455,46,43,43,0,202,174,172,-0.011494252873563204,3603,3248,3217,-0.00954433497536944
Abr,2791,2960,3057,0.03277027027027035,71,67,43,-0.35820895522388063,175,222,220,-0.009009009009009028,3429,3492,3504,0.0034364261168384758
Mai,3219,3157,3337,0.05701615457713016,55,42,56,0.33333333333333326,211,198,227,0.1464646464646464,3850,3623,3864,0.06651945901186851
Jun,2978,3193,3235,0.013153773880363318,48,54,49,-0.09259259259259256,211,245,228,-0.06938775510204087,3613,3686,3783,0.026315789473684292
Jul,3397,3525,3587,0.017588652482269485,49,66,65,-0.015151515151515138,221,274,274,0,4147,4226,4179,-0.011121628017037422
Ago,3448,3544,3388,-0.04401805869074493,75,64,72,0.125,297,285,265,-0.07017543859649122,4303,4247,4071,-0.04144101718860371
Set,3216,3229,3366,0.042427996283679104,65,67,64,-0.04477611940298509,226,210,243,0.15714285714285725,3887,3811,3975,0.04303332458672271
Out,3445,3140,3363,0.0710191082802547,56,55,45,-0.18181818181818177,189,187,204,0.09090909090909083,4095,3638,4014,0.10335349092908186
Nov,3203,2974,3111,0.046065904505716126,54,29,41,0.4137931034482758,180,173,212,0.22543352601156075,3814,3487,3687,0.057355893318038476
Dez,3133,2870,3307,0.15226480836236944,53,52,54,0.03846153846153855,176,194,218,0.12371134020618557,3741,3368,3869,0.14875296912114022
Total,37251,36595,38037,0.03940429020357983,688,642,618,-0.03738317757009346,2383,2500,2626,0.0504,44934,42873,44607,0.04044503533692523
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
