Quadro 6.4 Condutores vítimas em Portugal por dia da semana,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Dia da semana,VM,,,,FG,,,,FL,,,,Total de condutores vítimas,,,
,2019,2023,2024,∆(%) 24/23,2019,2023,2024,∆(%) 24/23,2019,2023,2024,∆(%) 24/23,2019,2023,2024,∆(%) 24/23
2.ª feira,51,51,40,-0.21568627450980393,160,229,243,0.06113537117903922,4140,4244,4356,0.02639019792648445,4351,4524,4639,0.025419982316533973
3.ª feira,46,42,55,0.30952380952380953,201,217,227,0.04608294930875578,4225,4121,4531,0.09949041494782818,4472,4380,4813,0.09885844748858452
4.ª feira,41,40,46,0.1499999999999999,169,225,231,0.026666666666666616,4162,4183,4464,0.067176667463543,4372,4448,4741,0.06587230215827344
5.ª feira,60,58,56,-0.03448275862068961,186,207,202,-0.024154589371980673,4305,4174,4338,0.03929084810733108,4551,4439,4596,0.03536832619959451
6.ª feira,61,62,66,0.06451612903225801,233,236,265,0.12288135593220328,4476,4652,4782,0.02794496990541706,4770,4950,5113,0.03292929292929303
Sábado,71,86,73,-0.15116279069767447,299,337,298,-0.11572700296735905,4047,4066,4088,0.0054107230693556385,4417,4489,4459,-0.006683002895967904
Domingo,73,89,95,0.0674157303370786,267,333,309,-0.07207207207207211,3521,3584,3704,0.033482142857142794,3861,4006,4108,0.02546180728906644
Total,403,428,431,0.007009345794392496,1515,1784,1775,-0.005044843049327397,28876,29024,30263,0.04268880926130092,30794,31236,32469,0.03947368421052633
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
