,,,,,,,,,,,,,,,,,,,,,,,,,,
Quadro 6. Sinistralidade no Continente por dia da semana,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Janeiro-dezembro,AcV,,,VM,,,FG,,,FL,,,,,,,,,,,,,,,,
,2023,2024,∆(%) 24/23,2023,2024,∆(%) 24/23,2023,2024,∆(%) 24/23,2023,2024,∆(%) 24/23,,,,,,,,,,,,,,
2.ª feira,5070,5251,0.035700197238658804,57,42,-0.26315789473684215,317,346,0.09148264984227139,5840,6096,0.043835616438356206,,,,,,,,,,,,,,
3.ª feira,4923,5349,0.08653260207190727,43,58,0.34883720930232553,288,341,0.18402777777777768,5743,6228,0.08445063555632948,,,,,,,,,,,,,,
4.ª feira,4988,5359,0.07437850842020843,44,57,0.2954545454545454,314,353,0.12420382165605104,5787,6130,0.05927077933298763,,,,,,,,,,,,,,
5.ª feira,5013,5185,0.034310791940953544,63,61,-0.031746031746031744,289,291,0.006920415224913601,5916,6047,0.02214334009465846,,,,,,,,,,,,,,
6.ª feira,5567,5713,0.026225974492545268,69,77,0.11594202898550732,327,389,0.18960244648318048,6520,6647,0.019478527607361906,,,,,,,,,,,,,,
Sábado,4913,4962,0.009973539588845837,96,78,-0.1875,465,417,-0.10322580645161294,5859,5967,0.018433179723502224,,,,,,,,,,,,,,
Domingo,4500,4519,0.004222222222222127,95,90,-0.052631578947368474,437,439,0.004576659038901587,5393,5568,0.03244947153717792,,,,,,,,,,,,,,
Total,34974,36338,0.039000400297363846,467,463,-0.008565310492505307,2437,2576,0.057037340993024266,41058,42683,0.039578157728092034,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
