Quadro 6.11 Condutores vítimas em Portugal por distrito e R.A.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Distrito e R.A.,VM,,,,FG,,,,FL,,,,Total de condutores vítimas,,,
,2019,2023,2024,∆(%) 24/23,2019,2023,2024,∆(%) 24/23,2019,2023,2024,∆(%) 24/23,2019,2023,2024,∆(%) 24/23
Aveiro,34,29,25,-0.13793103448275867,80,135,137,0.014814814814814836,2356,2420,2464,0.018181818181818077,2470,2584,2626,0.016253869969040213
Beja,22,18,16,-0.11111111111111116,39,65,71,0.0923076923076922,345,353,377,0.06798866855524088,406,436,464,0.06422018348623859
Braga,29,30,31,0.03333333333333344,95,129,132,0.023255813953488413,2591,2755,2776,0.007622504537205144,2715,2914,2939,0.008579272477693856
Bragança,7,4,6,0.5,24,33,26,-0.21212121212121215,308,302,310,0.026490066225165476,339,339,342,0.008849557522123908
C. Branco,7,18,11,-0.38888888888888884,44,50,45,-0.09999999999999998,391,423,420,-0.007092198581560294,442,491,476,-0.03054989816700615
Coimbra,25,27,25,-0.07407407407407407,53,61,74,0.21311475409836067,1353,1336,1326,-0.007485029940119792,1431,1424,1425,0.000702247191011196
Évora,9,7,9,0.2857142857142858,45,54,45,-0.16666666666666663,341,370,413,0.11621621621621614,395,431,467,0.08352668213457082
Faro,29,33,36,0.09090909090909083,152,151,140,-0.07284768211920534,1664,1709,1884,0.10239906377998831,1845,1893,2060,0.08821975699947182
Guarda,15,7,16,1.2857142857142856,34,29,32,0.10344827586206895,323,378,380,0.005291005291005346,372,414,428,0.033816425120772875
Leiria,26,30,31,0.03333333333333344,83,107,130,0.2149532710280373,1476,1491,1526,0.023474178403755763,1585,1628,1687,0.036240786240786305
Lisboa,40,37,54,0.45945945945945943,200,195,185,-0.05128205128205132,6115,5487,5900,0.07526881720430101,6355,5719,6139,0.0734394124847002
Portalegre,15,13,11,-0.15384615384615385,34,33,43,0.303030303030303,234,256,247,-0.03515625,283,302,301,-0.0033112582781457123
Porto,35,35,48,0.37142857142857144,135,136,150,0.10294117647058831,4791,4789,5046,0.053664648152015104,4961,4960,5244,0.05725806451612914
Santarém,27,30,31,0.03333333333333344,146,157,144,-0.08280254777070062,1293,1255,1343,0.07011952191235049,1466,1442,1518,0.05270457697642161
Setúbal,22,43,22,-0.4883720930232558,109,134,129,-0.03731343283582089,1908,2127,2099,-0.01316408086506815,2039,2304,2250,-0.0234375
V. Castelo,8,15,10,-0.33333333333333337,34,55,53,-0.036363636363636376,694,666,788,0.18318318318318316,736,736,851,0.15625
Vila Real,8,17,10,-0.4117647058823529,28,46,40,-0.13043478260869568,520,528,523,-0.009469696969697017,556,591,573,-0.030456852791878153
Viseu,25,19,24,0.26315789473684204,56,74,80,0.08108108108108114,1051,1133,1165,0.02824360105913515,1132,1226,1269,0.03507340946166404
R.A. Açores,10,10,8,-0.19999999999999996,59,68,67,-0.014705882352941124,429,483,504,0.04347826086956519,498,561,579,0.03208556149732611
R.A. Madeira,10,6,7,0.16666666666666674,65,72,52,-0.2777777777777778,693,763,772,0.011795543905635641,768,841,831,-0.01189060642092743
Total,403,428,431,0.007009345794392496,1515,1784,1775,-0.005044843049327397,28876,29024,30263,0.04268880926130092,30794,31236,32469,0.03947368421052633
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
