Quadro 5.4 Passageiros vítimas em Portugal por dia da semana,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Dia da semana,VM,,,,FG,,,,FL,,,,Total de passageiros vítimas,,,
,2019,2023,2024,∆(%) 24/23,2019,2023,2024,∆(%) 24/23,2019,2023,2024,∆(%) 24/23,2019,2023,2024,∆(%) 24/23
2.ª feira,13,14,5,-0.6428571428571428,34,47,42,-0.1063829787234043,1377,1172,1242,0.05972696245733777,1424,1233,1289,0.04541768045417682
3.ª feira,14,9,10,0.11111111111111116,53,37,48,0.29729729729729737,1384,1107,1212,0.09485094850948506,1451,1153,1270,0.10147441457068518
4.ª feira,44,7,7,0,53,39,58,0.4871794871794872,1355,1121,1193,0.06422836752899208,1452,1167,1258,0.07797772065124242
5.ª feira,8,13,14,0.07692307692307687,42,38,41,0.07894736842105265,1376,1216,1230,0.011513157894736947,1426,1267,1285,0.014206787687450761
6.ª feira,15,16,14,-0.125,56,40,59,0.4750000000000001,1490,1346,1356,0.007429420505200568,1561,1402,1429,0.01925820256776034
Sábado,21,25,10,-0.6,79,90,82,-0.0888888888888889,1803,1590,1549,-0.025786163522012573,1903,1705,1641,-0.03753665689149566
Domingo,30,21,16,-0.23809523809523814,101,75,95,0.2666666666666666,1882,1649,1715,0.040024257125530704,2013,1745,1826,0.04641833810888252
Total,145,105,76,-0.2761904761904762,418,366,425,0.1612021857923498,10667,9201,9497,0.03217041625910233,11230,9672,9998,0.0337055417700578
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
