Quadro 6.12 Condutores vítimas em Portugal por situação da licença de condução,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Situação da Licença de Condução,VM,,,,FG,,,,FL,,,,Total de condutores vítimas,,,
,2019,2023,2024,∆(%) 24/23,2019,2023,2024,∆(%) 24/23,2019,2023,2024,∆(%) 24/23,2019,2023,2024,∆(%) 24/23
Caducada/ suspensa,4,3,3,0,6,4,5,0.25,117,73,88,0.20547945205479445,127,80,96,0.19999999999999996
Com licença/ carta adequada ao veiculo,337,363,371,0.02203856749311295,1256,1494,1512,0.012048192771084265,25913,25476,26294,0.0321086512796358,27506,27333,28177,0.03087842534665053
Com licença/ carta não adequada ao veiculo,11,7,8,0.1428571428571428,30,24,19,-0.20833333333333337,174,111,146,0.3153153153153154,215,142,173,0.2183098591549295
Em situação de instrução/exame,1,0,0,-,0,1,1,0,18,21,19,-0.09523809523809523,19,22,20,-0.09090909090909094
Não necessária ao veiculo que conduz,27,32,30,-0.0625,118,180,164,-0.0888888888888889,2114,2944,3304,0.1222826086956521,2259,3156,3498,0.10836501901140694
Sem licença/carta,16,22,17,-0.2272727272727273,79,76,69,-0.09210526315789469,283,268,272,0.014925373134328401,378,366,358,-0.021857923497267784
nd,7,1,2,1,26,5,5,0,257,131,140,0.06870229007633588,290,137,147,0.07299270072992692
Total,403,428,431,0.007009345794392496,1515,1784,1775,-0.005044843049327397,28876,29024,30263,0.04268880926130092,30794,31236,32469,0.03947368421052633
n.d. - não definido,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
