Quadro 2.3 Veículos intervenientes em acidentes com vítimas em Portugal por NUTS I e categoria de veículo,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
NUTS I e categoria de veículo ,Veículos intervenientes ,,,,,,,,,,,,,,,,,,
,2019,2023,2024,2024 (%) ,∆(%) 24/23 ,∆(%) 24/19,,,,,,,,,,,,,
Continente,58300,57041,59494,1,0.043004154906120196,0.020480274442538526,,,,,,,,,,,,,
Veículo ligeiro,43934,40663,42106,0.7077352338050896,0.035486806187443154,-0.041607866344972044,,,,,,,,,,,,,
Veículo pesado,1620,1533,1673,0.028120482737755068,0.091324200913242,0.032716049382716106,,,,,,,,,,,,,
Ciclomotor,2378,1784,1587,0.026674958819376742,-0.11042600896860988,-0.33263246425567705,,,,,,,,,,,,,
Motociclo cilindrada <= 125cc,4155,5199,5508,0.09258076444683498,0.05943450663589145,0.32563176895306856,,,,,,,,,,,,,
Motociclo cilindrada > 125cc,2946,3737,4038,0.06787239049315898,0.08054589242708055,0.370672097759674,,,,,,,,,,,,,
Velocípede,2344,3239,3602,0.06054392039533398,0.11207162704538431,0.5366894197952219,,,,,,,,,,,,,
Quadriciclo,326,262,275,0.004622314855279524,0.04961832061068705,-0.15644171779141103,,,,,,,,,,,,,
Triciclo,47,40,37,0.0006219114532557905,-0.07499999999999996,-0.21276595744680848,,,,,,,,,,,,,
Veículo agrícola,212,189,228,0.0038323192254681145,0.20634920634920628,0.07547169811320753,,,,,,,,,,,,,
Outros*,338,395,440,0.007395703768447238,0.11392405063291133,0.30177514792899407,,,,,,,,,,,,,
R.A. Açores,961,1013,1083,1,0.06910167818361312,0.12695109261186266,,,,,,,,,,,,,
Veículo ligeiro,719,776,811,0.7488457987072945,0.045103092783505216,0.12795549374130744,,,,,,,,,,,,,
Veículo pesado,15,15,21,0.019390581717451522,0.3999999999999999,0.3999999999999999,,,,,,,,,,,,,
Ciclomotor,78,63,62,0.057248384118190214,-0.015873015873015928,-0.20512820512820518,,,,,,,,,,,,,
Motociclo cilindrada <= 125cc,56,45,73,0.06740535549399815,0.6222222222222222,0.3035714285714286,,,,,,,,,,,,,
Motociclo cilindrada > 125cc,32,48,41,0.03785780240073869,-0.14583333333333337,0.28125,,,,,,,,,,,,,
Velocípede,44,48,44,0.040627885503231764,-0.08333333333333337,0,,,,,,,,,,,,,
Quadriciclo,11,11,14,0.012927054478301015,0.2727272727272727,0.2727272727272727,,,,,,,,,,,,,
Triciclo,0,0,2,0.0018467220683287165,-,-,,,,,,,,,,,,,
Veículo agrícola,4,5,11,0.010156971375807941,1.2000000000000002,1.75,,,,,,,,,,,,,
Outros*,2,2,4,0.003693444136657433,1,1,,,,,,,,,,,,,
R.A. Madeira,1511,1646,1681,1,0.02126366950182268,0.11250827266710783,,,,,,,,,,,,,
Veículo ligeiro,1012,1102,1078,0.6412849494348603,-0.02177858439201452,0.0652173913043479,,,,,,,,,,,,,
Veículo pesado,44,44,55,0.03271861986912552,0.25,0.25,,,,,,,,,,,,,
Ciclomotor,50,38,30,0.01784651992861392,-0.21052631578947367,-0.4,,,,,,,,,,,,,
Motociclo cilindrada <= 125cc,240,276,297,0.1766805472932778,0.07608695652173902,0.23750000000000004,,,,,,,,,,,,,
Motociclo cilindrada > 125cc,109,137,159,0.09458655562165377,0.16058394160583944,0.45871559633027514,,,,,,,,,,,,,
Velocípede,43,42,55,0.03271861986912552,0.30952380952380953,0.2790697674418605,,,,,,,,,,,,,
Quadriciclo,10,4,2,0.001189767995240928,-0.5,-0.8,,,,,,,,,,,,,
Triciclo,0,1,4,0.002379535990481856,3,-,,,,,,,,,,,,,
Veículo agrícola,0,1,0,0,-1,-,,,,,,,,,,,,,
Outros*,3,1,1,0.000594883997620464,0,-0.6666666666666667,,,,,,,,,,,,,
Portugal,60772,59700,62258,-,0.04284757118927973,0.02445205028631614,,,,,,,,,,,,,
"* Inclui veículos de tração animal, veículos sobre carris, máquinas industriais e não definidos",,,,,,,,,,,,,,,,,,,
