,,,,,,,,,,,,,,,,,,,,,,,,,,
Quadro 15. Sinistralidade no Continente por distrito,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Janeiro-dezembro,AcV,,,VM,,,FG,,,FL,,,,,,,,,,,,,,,,
,2023,2024,∆(%) 24/23,2023,2024,∆(%) 24/23,2023,2024,∆(%) 24/23,2023,2024,∆(%) 24/23,,,,,,,,,,,,,,
Aveiro,2868,2898,0.010460251046025215,33,29,-0.12121212121212122,200,199,-0.0050000000000000044,3339,3386,0.014076070679844177,,,,,,,,,,,,,,
Beja,486,520,0.06995884773662553,26,23,-0.11538461538461542,85,111,0.3058823529411765,570,578,0.01403508771929829,,,,,,,,,,,,,,
Braga,3291,3312,0.006381039197812299,35,40,0.1428571428571428,193,223,0.15544041450777213,3954,4029,0.01896813353566018,,,,,,,,,,,,,,
Bragança,394,393,-0.0025380710659898,3,9,2,50,49,-0.020000000000000018,473,469,-0.008456659619450302,,,,,,,,,,,,,,
C. Branco,565,547,-0.031858407079646045,20,12,-0.4,76,66,-0.13157894736842102,660,616,-0.06666666666666665,,,,,,,,,,,,,,
Coimbra,1602,1635,0.020599250936329527,23,25,0.08695652173913038,94,110,0.17021276595744683,1858,1897,0.020990312163616798,,,,,,,,,,,,,,
Évora,458,515,0.12445414847161573,10,10,0,78,74,-0.05128205128205132,532,591,0.11090225563909772,,,,,,,,,,,,,,
Faro,2149,2363,0.09958120055839936,32,35,0.09375,193,207,0.07253886010362698,2403,2606,0.08447773616312948,,,,,,,,,,,,,,
Guarda,440,480,0.09090909090909083,11,16,0.4545454545454546,54,50,-0.07407407407407407,527,559,0.06072106261859589,,,,,,,,,,,,,,
Leiria,1802,1857,0.030521642619311784,32,36,0.125,157,185,0.17834394904458595,2117,2121,0.0018894662257911143,,,,,,,,,,,,,,
Lisboa,7248,7694,0.06153421633554079,45,58,0.288888888888889,311,330,0.06109324758842449,8462,9036,0.06783266367289054,,,,,,,,,,,,,,
Portalegre,331,326,-0.015105740181268867,16,9,-0.4375,44,64,0.4545454545454546,389,364,-0.06426735218508994,,,,,,,,,,,,,,
Porto,6107,6384,0.04535778614704444,50,55,0.10000000000000009,225,237,0.05333333333333323,7263,7611,0.047914085088806235,,,,,,,,,,,,,,
Santarém,1592,1656,0.04020100502512558,30,30,0,229,214,-0.06550218340611358,1791,1926,0.07537688442211055,,,,,,,,,,,,,,
Setúbal,2775,2724,-0.018378378378378413,50,31,-0.38,200,206,0.030000000000000027,3333,3272,-0.01830183018301834,,,,,,,,,,,,,,
V. Castelo,843,945,0.12099644128113884,17,13,-0.23529411764705888,74,73,-0.013513513513513487,1003,1143,0.13958125623130613,,,,,,,,,,,,,,
Vila Real,665,668,0.004511278195488799,19,11,-0.42105263157894735,64,59,-0.078125,778,795,0.02185089974293053,,,,,,,,,,,,,,
Viseu,1358,1421,0.046391752577319645,15,21,0.3999999999999999,110,119,0.08181818181818179,1606,1684,0.04856787048567868,,,,,,,,,,,,,,
Total,34974,36338,0.039000400297363846,467,463,-0.008565310492505307,2437,2576,0.057037340993024266,41058,42683,0.039578157728092034,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
