Quadro 3.2 Vítimas em Portugal por categoria de veículo,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Categoria de veículo e peões,VM,,,,FG,,,,FL,,,,Total de vítimas,,,,VM/100 vítimas,,,FG/100 vítimas,,
,2019,2023,2024,∆(%) 24/23,2019,2023,2024,∆(%) 24/23,2019,2023,2024,∆(%) 24/23,2019,2023,2024,∆(%) 24/23,2019,2023,2024,2019,2023,2024
Peões,140,109,111,0.0183486238532109,450,350,426,0.21714285714285708,5391,4648,4847,0.042814113597246184,5981,5107,5384,0.05423927942040341,2.340745694699883,2.1343254356765224,2.0616641901931647,7.5238254472496235,6.853338554924613,7.912332838038632
Veículo ligeiro,293,276,262,-0.050724637681159424,981,974,985,0.011293634496919891,26734,23626,24243,0.026115296707017732,28008,24876,25490,0.02468242482714267,1.0461296772350757,1.1095031355523397,1.0278540604158493,3.502570694087404,3.9154204856086188,3.8642604943114947
Veículo pesado,37,9,3,-0.6666666666666667,45,28,27,-0.0357142857142857,600,503,567,0.12723658051689868,682,540,597,0.10555555555555562,5.425219941348973,1.6666666666666665,0.5025125628140704,6.598240469208211,5.185185185185185,4.522613065326634
Ciclomotor,36,29,25,-0.13793103448275867,158,131,125,-0.04580152671755722,2391,1787,1596,-0.10688304420817007,2585,1947,1746,-0.1032357473035439,1.3926499032882012,1.4894709809964048,1.43184421534937,6.112185686653771,6.728299948638932,7.159221076746849
Motociclo <= 125cc,37,48,41,-0.14583333333333337,215,295,334,0.1322033898305084,4330,5352,5709,0.06670403587443952,4582,5695,6084,0.068305531167691,0.8075076385857703,0.8428446005267778,0.6738987508218277,4.692274116106503,5.179982440737489,5.489809335963182
Motociclo > 125cc,90,117,124,0.05982905982905984,342,499,494,-0.01002004008016033,2790,3491,3816,0.09309653394442852,3222,4107,4434,0.0796201607012419,2.793296089385475,2.8487947406866327,2.796571944068561,10.614525139664805,12.149987825663501,11.141181777176364
Velocípede,27,33,30,-0.09090909090909094,121,180,171,-0.050000000000000044,2172,3046,3431,0.12639527248850957,2320,3259,3632,0.11445228597729362,1.1637931034482758,1.0125805461798096,0.8259911894273128,5.2155172413793105,5.523166615526234,4.708149779735683
Quadriciclo,12,9,8,-0.11111111111111116,40,21,27,0.2857142857142858,319,243,221,-0.09053497942386834,371,273,256,-0.06227106227106227,3.234501347708895,3.2967032967032965,3.125,10.78167115902965,7.6923076923076925,10.546875
Triciclo,0,0,0,-,1,5,3,-0.4,45,35,34,-0.02857142857142858,46,40,37,-0.07499999999999996,0,0,0,2.1739130434782608,12.5,8.108108108108109
Veículo agrícola,15,12,13,0.08333333333333326,25,14,31,1.2142857142857144,105,108,124,0.14814814814814814,145,134,168,0.25373134328358216,10.344827586206897,8.955223880597014,7.738095238095238,17.24137931034483,10.44776119402985,18.452380952380953
Outros*,1,0,1,1,5,3,3,0,57,34,19,-0.4411764705882353,63,37,23,-0.3783783783783784,1.5873015873015872,0,4.3478260869565215,7.936507936507937,8.108108108108109,13.043478260869565
Total,688,642,618,-0.03738317757009346,2383,2500,2626,0.0504,44934,42873,44607,0.04044503533692523,48005,46015,47851,0.03990003259806585,1.4331840433288199,1.395197218298381,1.2915090593718,4.964066243099677,5.433010974682169,5.487868592087939
"* Inclui veículos de tração animal, veículos sobre carris, máquinas industriais e não definidos",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
