Quadro 1.9 Sinistralidade em Portugal por tipo de via,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Tipo de via,AcV,,,,VM,,,,FG,,,,FL,,,
,2019,2023,2024,∆(%) 24/23,2019,2023,2024,∆(%) 24/23,2019,2023,2024,∆(%) 24/23,2019,2023,2024,∆(%) 24/23
AE,2146,2010,2172,0.08059701492537319,67,49,46,-0.061224489795918324,168,150,150,0,3084,2836,3024,0.06629055007052176
Arruamento,24298,22986,23819,0.03623945010006091,295,221,211,-0.04524886877828049,1204,1158,1241,0.07167530224525054,28157,25828,26924,0.042434567136441004
EM,1335,1264,1234,-0.02373417721518989,40,31,32,0.032258064516129004,157,135,144,0.06666666666666665,1609,1481,1376,-0.07089804186360571
EN,6372,6965,7229,0.03790380473797561,180,199,217,0.09045226130653261,549,716,734,0.025139664804469275,8241,8668,8985,0.03657129672358095
ER,361,509,515,0.011787819253438192,10,22,12,-0.4545454545454546,32,72,70,-0.02777777777777779,468,613,639,0.04241435562805873
IC,966,829,948,0.1435464414957781,31,41,34,-0.1707317073170732,82,67,76,0.13432835820895517,1265,1101,1206,0.0953678474114441
IP,263,218,242,0.11009174311926606,19,17,11,-0.3529411764705882,26,26,24,-0.07692307692307687,349,269,326,0.21189591078066905
Outras vias*,1510,1814,1878,0.03528114663726578,46,62,55,-0.11290322580645162,165,176,187,0.0625,1761,2077,2127,0.02407318247472312
Total,37251,36595,38037,0.03940429020357983,688,642,618,-0.03738317757009346,2383,2500,2626,0.0504,44934,42873,44607,0.04044503533692523
"*Inclui acessos, estradas florestais, pontes, variantes e não definidas",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
