Quadro 5.13 Passageiros vítimas em Portugal por acesssório de segurança,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Acessório de segurança,VM,,,,FG,,,,FL,,,,Total de passageiros vítimas,,,
,2019,2023,2024,∆(%) 24/23,2019,2023,2024,∆(%) 24/23,2019,2023,2024,∆(%) 24/23,2019,2023,2024,∆(%) 24/23
C/ capacete/ cinto segurança,87,74,55,-0.2567567567567568,323,296,351,0.18581081081081074,8872,7616,7897,0.03689600840336138,9282,7986,8303,0.0396944653143001
C/ sistema retenção de crianças,3,2,3,0.5,23,13,21,0.6153846153846154,1009,943,947,0.0042417815482502785,1035,958,971,0.013569937369519725
S/ sistema retenção de crianças,3,2,0,-1,4,5,3,-0.4,70,93,68,-0.26881720430107525,77,100,71,-0.29000000000000004
S/ uso capacete/cinto segurança,22,27,18,-0.33333333333333337,53,52,50,-0.038461538461538436,636,523,564,0.07839388145315485,711,602,632,0.04983388704318936
n.d.,30,0,0,-,15,0,0,-,80,26,21,-0.1923076923076923,125,26,21,-0.1923076923076923
Total,145,105,76,-0.2761904761904762,418,366,425,0.1612021857923498,10667,9201,9497,0.03217041625910233,11230,9672,9998,0.0337055417700578
n.d. - não definido,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
