Quadro 1.7 Sinistralidade em Portugal por natureza detalhada do acidente,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Natureza,,AcV,,,,VM,,,,FG,,,,FL,,,
,,2019,2023,2024,∆(%) 24/23,2019,2023,2024,∆(%) 24/23,2019,2023,2024,∆(%) 24/23,2019,2023,2024,∆(%) 24/23
Atropelamento,Atropelamento com fuga,495,532,602,0.13157894736842102,11,11,11,0,36,34,39,0.1470588235294117,468,514,583,0.13424124513618674
,Atropelamento de animais,71,116,128,0.10344827586206895,1,0,0,-,0,4,3,-0.25,75,119,140,0.17647058823529416
,Atropelamento de peões,4999,4225,4343,0.02792899408284022,122,95,96,0.010526315789473717,391,308,362,0.17532467532467533,4970,4154,4307,0.03683196918632636
,Total,5565,4873,5073,0.041042478965729545,134,106,107,0.009433962264151052,427,346,404,0.16763005780346818,5513,4787,5030,0.05076248172132858
Colisão,Colisão choque em cadeia,723,665,698,0.049624060150375904,6,5,1,-0.8,14,15,12,-0.19999999999999996,1174,1081,1107,0.02405180388529149
,Colisão com fuga,631,689,811,0.17706821480406387,3,5,8,0.6000000000000001,30,28,34,0.2142857142857142,739,757,882,0.16512549537648602
,Colisão com outras situações,3269,2384,2540,0.06543624161073835,33,22,19,-0.13636363636363635,136,122,119,-0.024590163934426257,4214,2886,3090,0.07068607068607058
,Colisão com veiculo ou obstáculo na faixa de rodagem,1067,1412,1511,0.07011331444759206,13,20,23,0.1499999999999999,57,95,99,0.042105263157894646,1323,1743,1823,0.045897877223178396
,Colisão frontal,2834,2779,2987,0.07484706729039226,110,111,120,0.08108108108108114,326,368,414,0.125,4271,4084,4455,0.09084231145935351
,Colisão lateral com outro veículo em movimento,6714,7231,7477,0.0340201908449731,63,64,69,0.078125,298,400,393,-0.01749999999999996,8460,8683,9104,0.04848554647011394
,Colisão traseira com outro veículo em movimento,4280,4078,4332,0.062285434036292386,37,33,35,0.06060606060606055,151,124,143,0.153225806451613,5699,5331,5555,0.0420183830425811
,Total,19518,19238,20356,0.05811414907994594,265,260,275,0.05769230769230771,1012,1152,1214,0.05381944444444442,25880,24565,26016,0.05906777936087937
Despiste,Despiste com capotamento,2060,2161,2206,0.02082369273484508,105,65,51,-0.2153846153846154,225,205,221,0.07804878048780495,2554,2589,2591,0.0007724990343762617
,Despiste com colisão com veículo imobil. ou obstáculo,1193,1583,1632,0.030953885028426997,31,52,44,-0.15384615384615385,106,152,162,0.06578947368421062,1336,1718,1783,0.03783469150174623
,Despiste com dispositivo de retenção,570,468,457,-0.023504273504273532,1,9,5,-0.4444444444444444,21,39,27,-0.3076923076923077,630,519,501,-0.034682080924855474
,Despiste com fuga,101,133,127,-0.045112781954887216,0,5,1,-0.8,19,7,9,0.2857142857142858,111,143,137,-0.04195804195804198
,Despiste com transposição do dispositivo de retenção lateral,189,173,175,0.011560693641618602,13,9,8,-0.11111111111111116,18,25,25,0,227,191,206,0.07853403141361248
,Despiste sem dispositivo de retenção,1892,1949,1899,-0.025654181631605932,20,21,8,-0.6190476190476191,100,98,97,-0.010204081632653073,1975,2020,1967,-0.02623762376237626
,Despiste simples,6163,6017,6112,0.015788598969586065,119,115,119,0.034782608695652195,455,476,467,-0.018907563025210128,6708,6341,6376,0.0055196341271093186
,Total,12168,12484,12608,0.009932713873758381,289,276,236,-0.14492753623188404,944,1002,1008,0.0059880239520957446,13541,13521,13561,0.002958361067968429
Total,,37251,36595,38037,0.03940429020357983,688,642,618,-0.03738317757009346,2383,2500,2626,0.0504,44934,42873,44607,0.04044503533692523
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
