Quadro 4.3 Peões vítimas em Portugal por mês,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Mês,VM,,,,FG,,,,FL,,,,Total de peões vítimas,,,
,2019,2023,2024,∆(%) 24/23,2019,2023,2024,∆(%) 24/23,2019,2023,2024,∆(%) 24/23,2019,2023,2024,∆(%) 24/23
Jan,19,16,6,-0.625,45,39,39,0,513,468,497,0.06196581196581197,577,523,542,0.03632887189292533
Fev,9,8,4,-0.5,34,25,33,0.32000000000000006,390,339,398,0.17404129793510315,433,372,435,0.1693548387096775
Mar,13,14,12,-0.1428571428571429,52,25,42,0.6799999999999999,475,380,343,-0.09736842105263155,540,419,397,-0.05250596658711215
Abr,8,6,8,0.33333333333333326,22,21,26,0.23809523809523814,352,320,389,0.21562499999999996,382,347,423,0.2190201729106629
Mai,7,8,12,0.5,35,27,39,0.4444444444444444,466,362,355,-0.01933701657458564,508,397,406,0.02267002518891692
Jun,10,4,7,0.75,38,25,33,0.32000000000000006,373,352,356,0.011363636363636465,421,381,396,0.03937007874015741
Jul,7,8,7,-0.125,26,24,30,0.25,386,348,370,0.06321839080459779,419,380,407,0.07105263157894748
Ago,13,5,12,1.4,41,28,32,0.1428571428571428,368,330,348,0.05454545454545445,422,363,392,0.07988980716253447
Set,8,16,11,-0.3125,51,25,44,0.76,403,408,375,-0.08088235294117652,462,449,430,-0.04231625835189312
Out,16,14,13,-0.0714285714285714,35,36,33,-0.08333333333333337,512,410,441,0.07560975609756104,563,460,487,0.05869565217391304
Nov,13,0,6,-,42,41,35,-0.14634146341463417,581,477,482,0.01048218029350112,636,518,523,0.009652509652509744
Dez,17,10,13,0.30000000000000004,29,34,40,0.17647058823529416,572,454,493,0.08590308370044042,618,498,546,0.09638554216867479
Total,140,109,111,0.0183486238532109,450,350,426,0.21714285714285708,5391,4648,4847,0.042814113597246184,5981,5107,5384,0.05423927942040341
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
