,,,,,,,,,,,,,,,,,,,,,,,,,,
Quadro 23. Infrações,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Janeiro-dezembro,N.º Condutores / Veículos fiscalizados,,,Total de infrações,,,Taxa de infração,,,,,,,,,,,,,,,,,,,
Entidade fiscalizadora,2023,2024,∆(%) 24/23,2023,2024,∆(%) 24/23,2023,2024,∆(%) 24/23,,,,,,,,,,,,,,,,,
ANSR,166039491,243902902,0.4689451318542044,538896,614171,0.139683723761171,0.0032455893279027216,0.002518096320149565,-0.22414820060529894,,,,,,,,,,,,,,,,,
GNR,7773459,15376302,0.9780514697511109,458857,439870,-0.04137890453888682,0.05902867693776992,0.028607008369112417,-0.5153710051934433,,,,,,,,,,,,,,,,,
PSP,2837464,2596850,-0.08479896132602915,328254,178780,-0.45536078768270916,0.11568569680531629,0.06884494676242371,-0.40489664095397515,,,,,,,,,,,,,,,,,
PML(1),1068327,619535,-0.4200886058294885,311335,239125,-0.23193665986798784,0.0896789912045466,0.1839707232523618,1.0514361366169642,,,,,,,,,,,,,,,,,
Total (2),177718741,262495589,0.47702818241324363,1637342,1471946,-0.10101493762451585,0.00789139832674844,0.0050261942963005886,-0.3630793823619376,,,,,,,,,,,,,,,,,
"(1) Na PML, os veículos fiscalizados por radar fixo correspondem ao número de infrações, pelo que a taxa de infração apenas inclui radares móveis",,,,,,,,,,,,,,,,,,,,,,,,,,
(2) Taxa de infração global: sem radares fixos PML (fiscalização e infrações),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
