Quadro 5.10 Passageiros vítimas em Portugal por tipo de via,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Tipo de via,VM,,,,FG,,,,FL,,,,Total de passageiros vítimas,,,
,2019,2023,2024,∆(%) 24/23,2019,2023,2024,∆(%) 24/23,2019,2023,2024,∆(%) 24/23,2019,2023,2024,∆(%) 24/23
AE,23,14,6,-0.5714285714285714,67,47,40,-0.14893617021276595,1140,1032,1084,0.050387596899224896,1230,1093,1130,0.03385178408051237
Arruamento,61,22,22,0,136,106,125,0.179245283018868,5624,4415,4665,0.05662514156285381,5821,4543,4812,0.05921197446621185
EM,8,5,1,-0.8,36,21,28,0.33333333333333326,448,381,313,-0.17847769028871396,492,407,342,-0.15970515970515975
EN,35,33,25,-0.24242424242424243,111,131,149,0.13740458015267176,2374,2275,2315,0.01758241758241752,2520,2439,2489,0.020500205002049965
ER,3,7,4,-0.4285714285714286,6,10,13,0.30000000000000004,140,167,191,0.14371257485029942,149,184,208,0.13043478260869557
IC,6,9,4,-0.5555555555555556,24,13,16,0.23076923076923084,389,340,330,-0.02941176470588236,419,362,350,-0.03314917127071826
IP,5,5,5,0,12,8,8,0,123,87,98,0.12643678160919536,140,100,111,0.1100000000000001
Outras vias*,4,10,9,-0.09999999999999998,26,30,46,0.5333333333333334,429,504,501,-0.005952380952380931,459,544,556,0.022058823529411686
Total,145,105,76,-0.2761904761904762,418,366,425,0.1612021857923498,10667,9201,9497,0.03217041625910233,11230,9672,9998,0.0337055417700578
"*Inclui acessos, estradas florestais, pontes, variantes e não definidas",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
