Quadro 3.4 Vítimas em Portugal por grupo etário,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Grupo etário,VM,,,,FG,,,,FL,,,,Total de vítimas,,,
,2019,2023,2024,∆(%) 24/23,2019,2023,2024,∆(%) 24/23,2019,2023,2024,∆(%) 24/23,2019,2023,2024,∆(%) 24/23
<=14,14,11,9,-0.18181818181818177,91,75,82,0.09333333333333327,2435,2201,2135,-0.02998636983189462,2540,2287,2226,-0.026672496720594685
15_19,24,34,30,-0.11764705882352944,133,171,185,0.08187134502923987,3336,3292,3511,0.06652490886998774,3493,3497,3726,0.06548470117243355
20_24,58,48,61,0.27083333333333326,219,262,275,0.04961832061068705,5039,4697,4993,0.06301894826485,5316,5007,5329,0.06430996604753347
25_29,46,48,50,0.04166666666666674,218,236,245,0.03813559322033888,4156,4217,4603,0.09153426606592374,4420,4501,4898,0.08820262163963566
30_34,38,36,40,0.11111111111111116,192,207,236,0.14009661835748788,3616,3569,3795,0.06332305968058272,3846,3812,4071,0.0679433368310598
35_39,47,41,34,-0.1707317073170732,199,173,200,0.1560693641618498,3389,3242,3200,-0.012954966070326979,3635,3456,3434,-0.0063657407407407
40_44,42,44,46,0.045454545454545414,219,191,189,-0.010471204188481686,3718,3151,3274,0.03903522691209149,3979,3386,3509,0.036326048434731195
45_49,54,43,51,0.18604651162790709,161,226,213,-0.05752212389380529,3479,3354,3372,0.005366726296958779,3694,3623,3636,0.0035881865857023687
50_54,37,59,38,-0.35593220338983056,163,178,214,0.202247191011236,3148,3120,3152,0.01025641025641022,3348,3357,3404,0.014000595770032875
55_59,35,39,40,0.02564102564102555,151,179,158,-0.11731843575418999,3049,2677,2865,0.07022786701531558,3235,2895,3063,0.05803108808290158
60_64,47,43,38,-0.11627906976744184,145,157,168,0.07006369426751591,2506,2461,2640,0.07273466070702961,2698,2661,2846,0.06952273581360391
65_69,60,51,46,-0.0980392156862745,147,130,125,-0.038461538461538436,1999,2008,2119,0.055278884462151456,2206,2189,2290,0.04613978985838285
70_74,59,28,48,0.7142857142857142,122,103,137,0.33009708737864085,1816,1778,1720,-0.032620922384701934,1997,1909,1905,-0.002095337873232017
75_79,51,47,26,-0.44680851063829785,93,109,86,-0.21100917431192656,1467,1438,1486,0.033379694019471495,1611,1594,1598,0.0025094102885820924
>=80,74,70,61,-0.12857142857142856,124,103,113,0.09708737864077666,1740,1665,1738,0.043843843843843766,1938,1838,1912,0.040261153427638696
n.d.,2,0,0,-,6,0,0,-,41,3,4,0.33333333333333326,49,3,4,0.33333333333333326
Total,688,642,618,-0.03738317757009346,2383,2500,2626,0.0504,44934,42873,44607,0.04044503533692523,48005,46015,47851,0.03990003259806585
n.d. - não definido,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
