Quadro 3.3 Vítimas em Portugal por sexo,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Sexo,VM,,,,FG,,,,FL,,,,Total de vítimas,,,
,2019,2023,2024,∆(%) 24/23,2019,2023,2024,∆(%) 24/23,2019,2023,2024,∆(%) 24/23,2019,2023,2024,∆(%) 24/23
Feminino,182,131,121,-0.07633587786259544,604,589,691,0.17317487266553488,19276,17480,18079,0.03426773455377585,20062,18200,18891,0.037967032967032965
Masculino,505,510,497,-0.025490196078431393,1775,1911,1935,0.012558869701726927,25642,25389,26517,0.04442868958997992,27922,27810,28949,0.04095649047105354
n.d.,1,1,0,-,4,0,0,-,16,4,11,1.75,21,5,11,1.2000000000000002
Total,688,642,618,-0.03738317757009346,2383,2500,2626,0.0504,44934,42873,44607,0.04044503533692523,48005,46015,47851,0.03990003259806585
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
