,,,,,,,,,,,,,,,,,,,,,,,,,,
Quadro 8. Sinistralidade no Continente por fatores atmosféricos,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Janeiro-dezembro,AcV,,,VM,,,FG,,,FL,,,,,,,,,,,,,,,,
,2023,2024,∆(%) 24/23,2023,2024,∆(%) 24/23,2023,2024,∆(%) 24/23,2023,2024,∆(%) 24/23,,,,,,,,,,,,,,
Bom tempo,29546,30149,0.020408853990387943,415,409,-0.014457831325301207,2164,2220,0.025878003696857776,34396,35173,0.02258983602744502,,,,,,,,,,,,,,
Chuva,5120,5880,0.1484375,44,49,0.11363636363636354,244,330,0.3524590163934427,6258,7148,0.14221796100990725,,,,,,,,,,,,,,
Nevoeiro,205,199,-0.029268292682926855,6,3,-0.5,23,21,-0.08695652173913049,285,233,-0.1824561403508772,,,,,,,,,,,,,,
Vento,34,49,0.4411764705882353,2,2,0,2,2,0,39,51,0.3076923076923077,,,,,,,,,,,,,,
Neve,20,6,-0.7,0,0,-,3,0,-1,23,12,-0.4782608695652174,,,,,,,,,,,,,,
Fumo,2,2,0,0,0,-,0,0,-,2,2,0,,,,,,,,,,,,,,
Granizo,10,19,0.8999999999999999,0,0,-,1,1,0,13,30,1.3076923076923075,,,,,,,,,,,,,,
n.d.,37,34,-0.08108108108108103,0,0,-,0,2,-,42,34,-0.19047619047619047,,,,,,,,,,,,,,
Total,34974,36338,0.039000400297363846,467,463,-0.008565310492505307,2437,2576,0.057037340993024266,41058,42683,0.039578157728092034,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
