Quadro 4.5 Peões vítimas em Portugal por período horário,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Período horário,VM,,,,FG,,,,FL,,,,Total de peões vítimas,,,
,2019,2023,2024,∆(%) 24/23,2019,2023,2024,∆(%) 24/23,2019,2023,2024,∆(%) 24/23,2019,2023,2024,∆(%) 24/23
[00:00-03:00[,7,3,6,1,7,13,9,-0.3076923076923077,84,63,61,-0.031746031746031744,98,79,76,-0.03797468354430378
[03:00-06:00[,2,4,2,-0.5,8,4,8,1,36,34,37,0.08823529411764697,46,42,47,0.11904761904761907
[06:00-09:00[,7,11,22,1,54,49,45,-0.08163265306122447,561,520,517,-0.005769230769230749,622,580,584,0.006896551724137945
[09:00-12:00[,21,21,14,-0.33333333333333337,68,50,67,0.3400000000000001,969,931,983,0.055853920515574584,1058,1002,1064,0.0618762475049901
[12:00-15:00[,14,16,12,-0.25,63,43,70,0.627906976744186,893,744,840,0.12903225806451624,970,803,922,0.14819427148194264
[15:00-18:00[,29,11,13,0.18181818181818188,77,68,78,0.1470588235294117,1148,1044,1033,-0.010536398467432928,1254,1123,1124,0.0008904719501334757
[18:00-21:00[,45,32,32,0,129,94,117,0.24468085106382986,1357,1049,1105,0.05338417540514784,1531,1175,1254,0.06723404255319143
[21:00-00:00[,15,11,10,-0.09090909090909094,44,29,32,0.10344827586206895,343,263,271,0.03041825095057038,402,303,313,0.03300330033003296
Total,140,109,111,0.0183486238532109,450,350,426,0.21714285714285708,5391,4648,4847,0.042814113597246184,5981,5107,5384,0.05423927942040341
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
