Quadro 1.4 Sinistralidade em Portugal por fatores atmosféricos,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Fatores atmosféricos,AcV,,,,VM,,,,FG,,,,FL,,,
,2019,2023,2024,∆(%) 24/23,2019,2023,2024,∆(%) 24/23,2019,2023,2024,∆(%) 24/23,2019,2023,2024,∆(%) 24/23
Bom tempo,29835,30949,31629,0.021971630747358528,593,573,544,-0.05061082024432806,2031,2221,2271,0.022512381809995485,35778,35960,36834,0.024304783092324866
Chuva,7055,5320,6074,0.1417293233082706,88,60,66,0.10000000000000009,313,249,330,0.32530120481927716,8682,6489,7379,0.13715518569887508
Nevoeiro,234,215,210,-0.023255813953488413,3,6,5,-0.16666666666666663,30,25,20,-0.19999999999999996,302,296,251,-0.15202702702702697
Vento,30,38,55,0.44736842105263164,1,2,3,0.5,3,2,2,0,29,44,57,0.2954545454545454
Neve,8,20,7,-0.65,0,1,0,-1,0,2,0,-1,14,23,13,-0.4347826086956522
Fumo,5,2,2,0,2,0,0,-,5,0,0,-,7,2,2,0
Granizo,31,11,19,0.7272727272727273,1,0,0,-,1,1,1,0,55,14,30,1.1428571428571428
n.d.,53,40,41,0.02499999999999991,0,0,0,-,0,0,2,-,67,45,41,-0.0888888888888889
Total,37251,36595,38037,0.03940429020357983,688,642,618,-0.03738317757009346,2383,2500,2626,0.0504,44934,42873,44607,0.04044503533692523
n.d. - não definido,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
