Quadro 6.9 Condutores vítimas em Portugal por localização,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Localização,VM,,,,FG,,,,FL,,,,Total de condutores vítimas,,,
,2019,2023,2024,∆(%) 24/23,2019,2023,2024,∆(%) 24/23,2019,2023,2024,∆(%) 24/23,2019,2023,2024,∆(%) 24/23
Dentro das localidades,202,223,227,0.017937219730941756,967,1173,1171,-0.0017050298380221207,22053,22361,23235,0.039085908501408806,23222,23757,24633,0.03687334259376174
Fora das localidades,201,205,204,-0.004878048780487809,548,611,604,-0.011456628477905073,6823,6663,7028,0.05478012907098906,7572,7479,7836,0.047733654231849165
Total,403,428,431,0.007009345794392496,1515,1784,1775,-0.005044843049327397,28876,29024,30263,0.04268880926130092,30794,31236,32469,0.03947368421052633
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
