Quadro 6.6 Condutores vítimas em Portugal por fatores atmosféricos,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Fatores atmosféricos,VM,,,,FG,,,,FL,,,,Total de condutores vítimas,,,
,2019,2023,2024,∆(%) 24/23,2019,2023,2024,∆(%) 24/23,2019,2023,2024,∆(%) 24/23,2019,2023,2024,∆(%) 24/23
Bom tempo,343,386,387,0.002590673575129543,1315,1621,1556,-0.040098704503392923,22978,24457,25036,0.023674203704460828,24636,26464,26979,0.019460399032648068
Chuva,58,35,38,0.08571428571428563,174,141,200,0.4184397163120568,5605,4285,4957,0.15682613768961495,5837,4461,5195,0.16453709930508853
Nevoeiro,2,5,3,-0.4,21,19,15,-0.21052631578947367,196,189,173,-0.08465608465608465,219,213,191,-0.10328638497652587
Vento,0,1,3,2,2,2,2,0,16,32,43,0.34375,18,35,48,0.37142857142857144
Granizo,0,0,0,-,1,1,1,0,28,12,20,0.6666666666666667,29,13,21,0.6153846153846154
Neve,0,1,0,-1,0,0,0,-,7,18,4,-0.7777777777777778,7,19,4,-0.7894736842105263
Fumo,0,0,0,-,2,0,0,-,5,2,1,-0.5,7,2,1,-0.5
n.d.,0,0,0,-,0,0,1,-,41,29,29,0,41,29,30,0.034482758620689724
Total,403,428,431,0.007009345794392496,1515,1784,1775,-0.005044843049327397,28876,29024,30263,0.04268880926130092,30794,31236,32469,0.03947368421052633
n.d. - não definido,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
