Quadro 6.17 Condutores vítimas em Portugal por grupo etário,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Grupo etário,VM,,,,FG,,,,FL,,,,Total de condutores vítimas,,,,,,,,,,,,,
,2019,2023,2024,∆(%) 24/23,2019,2023,2024,∆(%) 24/23,2019,2023,2024,∆(%) 24/23,2019,2023,2024,∆(%) 24/23,,,,,,,,,,
≤ 14,1,2,1,-0.5,9,17,4,-0.7647058823529411,144,182,176,-0.03296703296703296,154,201,181,-0.09950248756218905,,,,,,,,,,
15_19,13,19,20,0.05263157894736836,66,119,121,0.01680672268907557,1759,1969,2156,0.0949720670391061,1838,2107,2297,0.09017560512577116,,,,,,,,,,
20_24,40,34,45,0.32352941176470584,138,192,180,-0.0625,3459,3346,3552,0.06156604901374774,3637,3572,3777,0.057390817469204825,,,,,,,,,,
25_29,35,38,42,0.10526315789473695,169,185,182,-0.01621621621621616,3073,3220,3463,0.07546583850931676,3277,3443,3687,0.0708684286959047,,,,,,,,,,
30_34,30,27,32,0.18518518518518512,155,161,190,0.18012422360248448,2789,2736,2973,0.08662280701754388,2974,2924,3195,0.0926812585499317,,,,,,,,,,
35_39,41,40,31,-0.22499999999999998,163,147,156,0.061224489795918435,2662,2552,2508,-0.017241379310344862,2866,2739,2695,-0.016064257028112428,,,,,,,,,,
40_44,37,36,38,0.05555555555555558,160,160,153,-0.043749999999999956,2843,2512,2548,0.014331210191082855,3040,2708,2739,0.011447562776957243,,,,,,,,,,
45_49,37,37,44,0.18918918918918926,122,183,169,-0.07650273224043713,2612,2623,2626,0.001143728555089485,2771,2843,2839,-0.00140696447414701,,,,,,,,,,
50_54,26,38,24,-0.368421052631579,109,138,158,0.14492753623188404,2234,2321,2371,0.02154243860404992,2369,2497,2553,0.022426912294753798,,,,,,,,,,
55_59,20,27,30,0.11111111111111116,99,131,120,-0.08396946564885499,2021,1901,2043,0.07469752761704362,2140,2059,2193,0.06508013598834395,,,,,,,,,,
60_64,21,27,24,-0.11111111111111116,95,112,107,-0.044642857142857095,1564,1702,1789,0.05111633372502933,1680,1841,1920,0.042911461162411735,,,,,,,,,,
65_69,28,33,29,-0.12121212121212122,73,86,74,-0.13953488372093026,1163,1257,1351,0.07478122513922036,1264,1376,1454,0.0566860465116279,,,,,,,,,,
70_74,28,18,30,0.6666666666666667,54,55,70,0.2727272727272727,990,1026,1038,0.011695906432748648,1072,1099,1138,0.035486806187443154,,,,,,,,,,
75_79,21,21,14,-0.33333333333333337,43,51,43,-0.1568627450980392,746,808,821,0.016089108910890992,810,880,878,-0.002272727272727315,,,,,,,,,,
≥ 80,24,31,27,-0.12903225806451613,54,47,48,0.02127659574468077,777,866,846,-0.023094688221709014,855,944,921,-0.024364406779661008,,,,,,,,,,
n.d.,1,0,0,-,6,0,0,-,40,3,2,-0.33333333333333337,47,3,2,-0.33333333333333337,,,,,,,,,,
Total,403,428,431,0.007009345794392496,1515,1784,1775,-0.005044843049327397,28876,29024,30263,0.04268880926130092,30794,31236,32469,0.03947368421052633,,,,,,,,,,
n.d. - não definido,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
