Quadro 6.13 Condutores vítimas em Portugal por categoria de veículo,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Categoria de veículo,VM,,,,FG,,,,FL,,,,Total de condutores vítimas,,,,VM/100 vítimas,,,FG/100 vítimas,,
,2019,2023,2024,∆(%) 24/23,2019,2023,2024,∆(%) 24/23,2019,2023,2024,∆(%) 24/23,2019,2023,2024,∆(%) 24/23,2019,2023,2024,2019,2023,2024
Automóvel ligeiro,191,188,198,0.05319148936170204,624,678,655,-0.03392330383480824,17396,15807,16260,0.028658189409755064,18211,16673,17113,0.0263899718107119,1.048816649277909,1.1275715228213279,1.1570151346929236,3.4265004667508645,4.066454747196066,3.8274995617366914
Automóvel pesado,7,7,3,-0.5714285714285714,29,19,18,-0.052631578947368474,273,228,277,0.21491228070175428,309,254,298,0.17322834645669283,2.26537216828479,2.7559055118110236,1.0067114093959733,9.385113268608414,7.480314960629921,6.040268456375839
Ciclomotor,34,28,24,-0.1428571428571429,153,124,119,-0.040322580645161255,2198,1676,1472,-0.12171837708830546,2385,1828,1615,-0.1165207877461707,1.4255765199161425,1.5317286652078774,1.4860681114551084,6.415094339622641,6.783369803063457,7.36842105263158
Motociclo cilindrada <= 125cc,34,45,39,-0.1333333333333333,206,278,307,0.10431654676258995,3989,4922,5211,0.058715969118244615,4229,5245,5557,0.059485224022878924,0.8039725703476,0.8579599618684461,0.7018175274428649,4.871127926223694,5.300285986653956,5.5245636134605
Motociclo cilindrada > 125cc,84,109,117,0.07339449541284404,319,467,452,-0.032119914346895095,2511,3130,3411,0.08977635782747595,2914,3706,3980,0.07393416082029147,2.8826355525051475,2.941176470588235,2.9396984924623117,10.947151681537406,12.601187263896383,11.35678391959799
Velocípede,27,32,30,-0.0625,97,180,167,-0.07222222222222219,1644,2946,3323,0.12797012898845894,1768,3158,3520,0.1146295123495884,1.5271493212669685,1.013299556681444,0.8522727272727272,5.486425339366516,5.699810006333123,4.744318181818182
Quadriciclo,11,9,7,-0.2222222222222222,36,19,24,0.26315789473684204,246,187,170,-0.09090909090909094,293,215,201,-0.06511627906976747,3.7542662116040955,4.186046511627907,3.4825870646766175,12.286689419795222,8.837209302325581,11.940298507462687
Triciclo,0,0,0,-,1,4,2,-0.5,23,19,26,0.368421052631579,24,23,28,0.21739130434782616,0,0,0,4.166666666666667,17.391304347826086,7.142857142857142
Veículo agrícola,14,10,12,0.19999999999999996,22,12,28,1.3333333333333335,81,89,100,0.12359550561797761,117,111,140,0.26126126126126126,11.965811965811966,9.009009009009008,8.571428571428571,18.803418803418804,10.81081081081081,20
Outros*,1,0,1,-,28,3,3,0,515,20,13,-0.35,544,23,17,-0.26086956521739135,0.1838235294117647,0,5.88235294117647,5.147058823529411,13.043478260869565,17.64705882352941
Total,403,428,431,0.007009345794392496,1515,1784,1775,-0.005044843049327397,28876,29024,30263,0.04268880926130092,30794,31236,32469,0.03947368421052633,1.308696499318049,1.3702138558074017,1.3274200006159722,4.919789569396635,5.711358688692534,5.466752902768795
"* Inclui veículos de tração animal, veículos sobre carris, máquinas industriais e não definidos",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
