Quadro 5.3 Passageiros vítimas em Portugal por mês,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Mês,VM,,,,FG,,,,FL,,,,Total de passageiros vítimas,,,
,2019,2023,2024,∆(%) 24/23,2019,2023,2024,∆(%) 24/23,2019,2023,2024,∆(%) 24/23,2019,2023,2024,∆(%) 24/23
Jan,11,8,4,-0.5,20,31,21,-0.32258064516129037,804,675,662,-0.01925925925925931,835,714,687,-0.037815126050420145
Fev,6,9,6,-0.33333333333333337,20,15,18,0.19999999999999996,637,575,681,0.18434782608695643,663,599,705,0.1769616026711185
Mar,5,6,7,0.16666666666666674,33,22,22,0,866,655,691,0.05496183206106875,904,683,720,0.05417276720351394
Abr,35,13,5,-0.6153846153846154,39,39,44,0.1282051282051282,859,766,692,-0.09660574412532641,933,818,741,-0.09413202933985332
Mai,12,2,3,0.5,31,21,30,0.4285714285714286,830,716,793,0.10754189944134085,873,739,826,0.11772665764546675
Jun,7,5,5,0,39,29,43,0.48275862068965525,877,743,788,0.060565275908479155,923,777,836,0.07593307593307586
Jul,10,16,9,-0.4375,43,39,40,0.02564102564102555,962,973,892,-0.08324768756423429,1015,1028,941,-0.08463035019455256
Ago,16,16,9,-0.4375,70,55,51,-0.07272727272727275,1212,1029,1000,-0.02818270165208936,1298,1100,1060,-0.036363636363636376
Set,18,16,11,-0.3125,41,33,44,0.33333333333333326,982,831,879,0.05776173285198549,1041,880,934,0.06136363636363629
Out,14,3,4,0.33333333333333326,25,25,38,0.52,859,769,868,0.12873862158647587,898,797,910,0.14178168130489333
Nov,7,2,7,2.5,25,23,46,1,898,726,751,0.03443526170798905,930,751,804,0.07057256990679095
Dez,4,9,6,-0.33333333333333337,32,34,28,-0.17647058823529416,881,743,800,0.07671601615074031,917,786,834,0.06106870229007644
Total,145,105,76,-0.2761904761904762,418,366,425,0.1612021857923498,10667,9201,9497,0.03217041625910233,11230,9672,9998,0.0337055417700578
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
