Quadro 1.3 Sinistralidade em Portugal por período horário,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Período horário,AcV,,,,VM,,,,FG,,,,FL,,,
,2019,2023,2024,∆(%) 24/23,2019,2023,2024,∆(%) 24/23,2019,2023,2024,∆(%) 24/23,2019,2023,2024,∆(%) 24/23
[00:00-03:00[,1387,1274,1309,0.027472527472527375,43,44,43,-0.022727272727272707,155,145,136,-0.06206896551724139,1656,1525,1558,0.02163934426229508
[03:00-06:00[,797,791,779,-0.015170670037926715,26,39,32,-0.17948717948717952,99,107,82,-0.23364485981308414,937,915,890,-0.02732240437158473
[06:00-09:00[,4157,4043,4367,0.08013851100667813,57,69,86,0.24637681159420288,225,242,282,0.165289256198347,4975,4681,5094,0.08822901089510782
[09:00-12:00[,6047,6014,6404,0.06484868639840369,83,83,65,-0.2168674698795181,294,292,320,0.09589041095890405,7098,6961,7391,0.06177273380261461
[12:00-15:00[,6561,6560,6837,0.04222560975609757,78,97,83,-0.14432989690721654,326,411,439,0.06812652068126512,7969,7692,8075,0.04979199167966719
[15:00-18:00[,7745,7989,8095,0.013268243835273585,142,104,112,0.07692307692307687,464,560,542,-0.03214285714285714,9561,9567,9572,0.0005226298735234725
[18:00-21:00[,7463,7198,7282,0.011669908307863297,181,149,131,-0.12080536912751683,534,518,579,0.11776061776061786,8971,8314,8528,0.0257397161414481
[21:00-00:00[,3094,2726,2964,0.08730741012472487,78,57,66,0.1578947368421053,286,225,246,0.09333333333333327,3767,3218,3499,0.08732131758856432
Total,37251,36595,38037,0.03940429020357983,688,642,618,-0.03738317757009346,2383,2500,2626,0.0504,44934,42873,44607,0.04044503533692523
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
