Quadro 1.5 Sinistralidade em Portugal por condições de luminosidade,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Luminosidade,AcV,,,,VM,,,,FG,,,,FL,,,
,2019,2023,2024,∆(%) 24/23,2019,2023,2024,∆(%) 24/23,2019,2023,2024,∆(%) 24/23,2019,2023,2024,∆(%) 24/23
Dia,26208,26915,27981,0.03960616756455515,406,391,368,-0.05882352941176472,1434,1686,1761,0.04448398576512447,31690,31560,32851,0.04090621039290232
Noite,9463,8334,9016,0.08183345332373415,256,219,222,0.013698630136986356,843,715,761,0.06433566433566429,11350,9742,10556,0.08355573804146998
Aurora/Crepúsculo,1559,1345,1040,-0.22676579925650553,26,32,28,-0.125,105,99,104,0.05050505050505061,1867,1570,1200,-0.23566878980891715
n.d.,21,1,0,-1,0,0,0,-,1,0,0,-,27,1,0,-1
Total,37251,36595,38037,0.03940429020357983,688,642,618,-0.03738317757009346,2383,2500,2626,0.0504,44934,42873,44607,0.04044503533692523
n.d. - não definido,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
