Quadro 5.12 Passageiros vítimas em Portugal por grupo etário,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Grupo etário,VM,,,,FG,,,,FL,,,,Total de passageiros vítimas,,,
,2019,2023,2024,∆(%) 24/23,2019,2023,2024,∆(%) 24/23,2019,2023,2024,∆(%) 24/23,2019,2023,2024,∆(%) 24/23
≤ 14,10,5,5,0,45,31,40,0.29032258064516125,1697,1554,1476,-0.050193050193050204,1752,1590,1521,-0.04339622641509433
15_19,9,12,9,-0.25,50,40,46,0.1499999999999999,1163,983,991,0.008138351983723258,1222,1035,1046,0.010628019323671412
20_24,14,12,13,0.08333333333333326,58,57,69,0.21052631578947367,1240,1084,1142,0.053505535055350606,1312,1153,1224,0.06157849089332168
25_29,8,6,6,0,34,34,42,0.23529411764705888,851,777,874,0.12483912483912474,893,817,922,0.12851897184822514
30_34,7,7,4,-0.4285714285714286,27,31,30,-0.032258064516129004,613,623,614,-0.014446227929374,647,661,648,-0.01966717095310133
35_39,3,1,2,1,25,18,28,0.5555555555555556,507,469,469,0,535,488,499,0.02254098360655732
40_44,4,7,4,-0.4285714285714286,29,20,18,-0.09999999999999998,593,439,491,0.11845102505694771,626,466,513,0.10085836909871237
45_49,6,4,2,-0.5,17,25,21,-0.16000000000000003,559,445,482,0.08314606741573027,582,474,505,0.06540084388185652
50_54,6,12,7,-0.41666666666666663,22,19,35,0.8421052631578947,552,499,487,-0.024048096192384794,580,530,529,-0.0018867924528301883
55_59,5,5,1,-0.8,17,17,13,-0.23529411764705888,616,461,487,0.05639913232104132,638,483,501,0.037267080745341685
60_64,11,5,4,-0.19999999999999996,16,11,17,0.5454545454545454,547,390,474,0.21538461538461529,574,406,495,0.21921182266009853
65_69,12,5,2,-0.6,30,16,20,0.25,490,407,435,0.0687960687960687,532,428,457,0.06775700934579443
70_74,11,3,3,0,11,17,25,0.47058823529411775,420,382,357,-0.06544502617801051,442,402,385,-0.04228855721393032
75_79,14,9,2,-0.7777777777777778,14,15,11,-0.2666666666666667,370,316,321,0.015822784810126667,398,340,334,-0.01764705882352946
≥ 80,25,12,12,0,23,15,10,-0.33333333333333337,448,372,396,0.06451612903225801,496,399,418,0.04761904761904767
n.d.,0,0,0,-,0,0,0,-,1,0,1,-,1,0,1,-
Total,145,105,76,-0.2761904761904762,418,366,425,0.1612021857923498,10667,9201,9497,0.03217041625910233,11230,9672,9998,0.0337055417700578
n.d. - não definido,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
