ano,total_veiculos
2010,7077330
2011,7125073
2012,6545284
2013,6648925
2014,7155962
2015,7181598
2016,7346719
2017,7632238
2018,7940894
2019,8312469
2020,8349381
2021,8468711
2022,8680415
2023,8781493
2024,9183164
