year,source_file,sheet_id,title,csv_path,rows,cols
2020,"Anexo ao Relatório Anual de Sinistralidade a 30 dias, fiscalização e contraordenações rodoviárias 2020.xlsx",1.1,Sinistralidade em Portugal por mês,data\processed\xlsx_raw\2020\1.1.csv,18,13
2020,"Anexo ao Relatório Anual de Sinistralidade a 30 dias, fiscalização e contraordenações rodoviárias 2020.xlsx",1.2,Sinistralidade em Portugal por dia da semana,data\processed\xlsx_raw\2020\1.2.csv,13,13
2020,"Anexo ao Relatório Anual de Sinistralidade a 30 dias, fiscalização e contraordenações rodoviárias 2020.xlsx",1.3,Sinistralidade em Portugal por período horário,data\processed\xlsx_raw\2020\1.3.csv,14,13
2020,"Anexo ao Relatório Anual de Sinistralidade a 30 dias, fiscalização e contraordenações rodoviárias 2020.xlsx",1.4,Sinistralidade em Portugal por fatores atmosféricos,data\processed\xlsx_raw\2020\1.4.csv,14,13
2020,"Anexo ao Relatório Anual de Sinistralidade a 30 dias, fiscalização e contraordenações rodoviárias 2020.xlsx",1.5,Sinistralidade em Portugal por condições de luminosidade,data\processed\xlsx_raw\2020\1.5.csv,10,13
2020,"Anexo ao Relatório Anual de Sinistralidade a 30 dias, fiscalização e contraordenações rodoviárias 2020.xlsx",1.6,Sinistralidade em Portugal por natureza do acidente,data\processed\xlsx_raw\2020\1.6.csv,9,13
2020,"Anexo ao Relatório Anual de Sinistralidade a 30 dias, fiscalização e contraordenações rodoviárias 2020.xlsx",1.7,Sinistralidade em Portugal por natureza detalhada do acidente,data\processed\xlsx_raw\2020\1.7.csv,26,14
2020,"Anexo ao Relatório Anual de Sinistralidade a 30 dias, fiscalização e contraordenações rodoviárias 2020.xlsx",1.8,Sinistralidade em Portugal por localização do acidente,data\processed\xlsx_raw\2020\1.8.csv,8,13
2020,"Anexo ao Relatório Anual de Sinistralidade a 30 dias, fiscalização e contraordenações rodoviárias 2020.xlsx",1.9,Sinistralidade em Portugal por tipo de via,data\processed\xlsx_raw\2020\1.9.csv,15,16
2020,"Anexo ao Relatório Anual de Sinistralidade a 30 dias, fiscalização e contraordenações rodoviárias 2020.xlsx",1.10,Sinistralidade em Portugal por distrito,data\processed\xlsx_raw\2020\1.10.csv,26,13
2020,"Anexo ao Relatório Anual de Sinistralidade a 30 dias, fiscalização e contraordenações rodoviárias 2020.xlsx",2.1,Veículos intervenientes em acidentes com vítimas em Portugal por categoria e natureza do acidente,data\processed\xlsx_raw\2020\2.1.csv,25,14
2020,"Anexo ao Relatório Anual de Sinistralidade a 30 dias, fiscalização e contraordenações rodoviárias 2020.xlsx",2.2,Veículos intervenientes em acidentes com vítimas em Portugal por categoria e idade do veículo,data\processed\xlsx_raw\2020\2.2.csv,17,17
2020,"Anexo ao Relatório Anual de Sinistralidade a 30 dias, fiscalização e contraordenações rodoviárias 2020.xlsx",3.1,Vítimas em Portugal por categoria de utente,data\processed\xlsx_raw\2020\3.1.csv,9,17
2020,"Anexo ao Relatório Anual de Sinistralidade a 30 dias, fiscalização e contraordenações rodoviárias 2020.xlsx",3.2,Vítimas em Portugal por categoria de veículo,data\processed\xlsx_raw\2020\3.2.csv,18,17
2020,"Anexo ao Relatório Anual de Sinistralidade a 30 dias, fiscalização e contraordenações rodoviárias 2020.xlsx",3.3,"Vítimas mortais em Portugal por veículo, segundo o principal outro veículo no acidente, 2020",data\processed\xlsx_raw\2020\3.3.csv,17,14
2020,"Anexo ao Relatório Anual de Sinistralidade a 30 dias, fiscalização e contraordenações rodoviárias 2020.xlsx",3.4,Vítimas em Portugal por sexo,data\processed\xlsx_raw\2020\3.4.csv,11,13
2020,"Anexo ao Relatório Anual de Sinistralidade a 30 dias, fiscalização e contraordenações rodoviárias 2020.xlsx",3.5,Vítimas em Portugal por grupo etário,data\processed\xlsx_raw\2020\3.5.csv,23,13
2020,"Anexo ao Relatório Anual de Sinistralidade a 30 dias, fiscalização e contraordenações rodoviárias 2020.xlsx",3.6,"Vítimas mortais em Portugal por milhão de habitantes, segundo o grupo etário",data\processed\xlsx_raw\2020\3.6.csv,23,12
2020,"Anexo ao Relatório Anual de Sinistralidade a 30 dias, fiscalização e contraordenações rodoviárias 2020.xlsx",4.1,Peões vítimas em Portugal por regiões NUTS I,data\processed\xlsx_raw\2020\4.1.csv,11,13
2020,"Anexo ao Relatório Anual de Sinistralidade a 30 dias, fiscalização e contraordenações rodoviárias 2020.xlsx",4.2,"Evolução peões vítimas em Portugal, 2017 a 2020",data\processed\xlsx_raw\2020\4.2.csv,9,7
