ano,total_condutores_intervenientes,total_testados,total_nao_testados,total_infratores,pct_testados,pct_infratores_entre_testados
1998,83484,50331,33153,1961,60.3,3.9
1999,80428,64363,16065,2253,80.0,3.5
2000,73736,60039,13697,2026,81.4,3.37
2001,70524,57079,13445,1757,80.9,3.08
2002,68979,57869,11110,1893,83.9,3.27
2003,67421,57102,10319,2064,84.7,3.61
2004,63668,53822,9846,1759,84.5,3.27
