year,title,url,filename,extension,is_annex_xlsx
2018,Aveiro,http://www.ansr.pt/Estatisticas/RelatoriosDeSinistralidade/Documents/2018/RELATÓRIO ANUAL - VÍTIMAS A 24 HORAS/Aveiro 2018 24h.pdf,Aveiro 2018 24h.pdf,pdf,False
2018,Beja,http://www.ansr.pt/Estatisticas/RelatoriosDeSinistralidade/Documents/2018/RELATÓRIO ANUAL - VÍTIMAS A 24 HORAS/Beja 2018 24h.pdf,Beja 2018 24h.pdf,pdf,False
2018,Braga,http://www.ansr.pt/Estatisticas/RelatoriosDeSinistralidade/Documents/2018/RELATÓRIO ANUAL - VÍTIMAS A 24 HORAS/Braga 2018 24h.pdf,Braga 2018 24h.pdf,pdf,False
2018,Bragança,http://www.ansr.pt/Estatisticas/RelatoriosDeSinistralidade/Documents/2018/RELATÓRIO ANUAL - VÍTIMAS A 24 HORAS/Bragança 2018 24h.pdf,Bragança 2018 24h.pdf,pdf,False
2018,Castelo Branco,http://www.ansr.pt/Estatisticas/RelatoriosDeSinistralidade/Documents/2018/RELATÓRIO ANUAL - VÍTIMAS A 24 HORAS/Castelo Branco 2018 24h.pdf,Castelo Branco 2018 24h.pdf,pdf,False
2018,Coimbra,http://www.ansr.pt/Estatisticas/RelatoriosDeSinistralidade/Documents/2018/RELATÓRIO ANUAL - VÍTIMAS A 24 HORAS/Coimbra 2018 24h.pdf,Coimbra 2018 24h.pdf,pdf,False
2018,Évora,http://www.ansr.pt/Estatisticas/RelatoriosDeSinistralidade/Documents/2018/RELATÓRIO ANUAL - VÍTIMAS A 24 HORAS/Évora 2018 24h.pdf,Évora 2018 24h.pdf,pdf,False
2018,Faro,http://www.ansr.pt/Estatisticas/RelatoriosDeSinistralidade/Documents/2018/RELATÓRIO ANUAL - VÍTIMAS A 24 HORAS/Faro 2018 24h.pdf,Faro 2018 24h.pdf,pdf,False
2018,Guarda,http://www.ansr.pt/Estatisticas/RelatoriosDeSinistralidade/Documents/2018/RELATÓRIO ANUAL - VÍTIMAS A 24 HORAS/Guarda 2018 24h.pdf,Guarda 2018 24h.pdf,pdf,False
2018,Leiria,http://www.ansr.pt/Estatisticas/RelatoriosDeSinistralidade/Documents/2018/RELATÓRIO ANUAL - VÍTIMAS A 24 HORAS/Leiria 2018 24h.pdf,Leiria 2018 24h.pdf,pdf,False
