year,title,url,filename,extension,is_annex_xlsx
2023,Relatório Pontos Negros 2023,http://www.ansr.pt/Estatisticas/RelatoriosDeSinistralidade/Documents/2023/Relatório Pontos Negros 2023.pdf,Relatório Pontos Negros 2023.pdf,pdf,False
2022,"Relatório Anual de Sinistralidade a 30 dias, fiscalização e contraordenações rodoviárias 2022","http://www.ansr.pt/Estatisticas/RelatoriosDeSinistralidade/Documents/2022/Relatório Anual de Sinistralidade a 30 dias, fiscalização e contraordenações rodoviárias 2022.pdf","Relatório Anual de Sinistralidade a 30 dias, fiscalização e contraordenações rodoviárias 2022.pdf",pdf,False
2022,"Anexo ao Relatório Anual de Sinistralidade a 30 Dias, fiscalização e contraordenações rodoviárias 2023","http://www.ansr.pt/Estatisticas/RelatoriosDeSinistralidade/Documents/2022/Cópia de Anexo ao Relatório Anual de Sinistralidade a 30 dias, fiscalização e contraordenações rodoviárias 2022.xlsx","Cópia de Anexo ao Relatório Anual de Sinistralidade a 30 dias, fiscalização e contraordenações rodoviárias 2022.xlsx",xlsx,True
2022,"Relatório Anual de Sinistralidade a 24 horas, fiscalização e contraordenações rodoviárias 2022","http://www.ansr.pt/Estatisticas/RelatoriosDeSinistralidade/Documents/2022/Relatório Anual de Sinistralidade a 24h, fiscalização e contraordenações rodoviárias 2022.pdf","Relatório Anual de Sinistralidade a 24h, fiscalização e contraordenações rodoviárias 2022.pdf",pdf,False
2021,"Anexo ao Relatório Anual de Sinistralidade a 30 dias, fiscalização e contraordenações rodoviárias 2021","http://www.ansr.pt/Estatisticas/RelatoriosDeSinistralidade/Documents/2021/Anexo ao Relatório Anual de Sinistralidade a 30 dias, fiscalização e contraordenações rodoviárias 2021.xlsx","Anexo ao Relatório Anual de Sinistralidade a 30 dias, fiscalização e contraordenações rodoviárias 2021.xlsx",xlsx,True
2021,"Relatório Anual de Sinistralidade a 30 dias, fiscalização e contraordenações rodoviárias 2021","http://www.ansr.pt/Estatisticas/RelatoriosDeSinistralidade/Documents/2021/Relatório Anual de Sinistralidade a 30 dias, fiscalização e contraordenações rodoviárias 2021.pdf","Relatório Anual de Sinistralidade a 30 dias, fiscalização e contraordenações rodoviárias 2021.pdf",pdf,False
2021,Relatório Anual de Sinistralidade a 24 horas e fiscalização rodoviária 2021,"http://www.ansr.pt/Estatisticas/RelatoriosDeSinistralidade/Documents/2021/Relatório Anual de Sinistralidade a 24h, fiscalização e contraordenações rodoviárias 2021.pdf","Relatório Anual de Sinistralidade a 24h, fiscalização e contraordenações rodoviárias 2021.pdf",pdf,False
2020,"Anexo ao Relatório Anual de Sinistralidade a 30 dias, fiscalização e contraordenações rodoviárias 2020","http://www.ansr.pt/Estatisticas/RelatoriosDeSinistralidade/Documents/2020/Anexo ao Relatório Anual de Sinistralidade a 30 dias, fiscalização e contraordenações rodoviárias 2020.xlsx","Anexo ao Relatório Anual de Sinistralidade a 30 dias, fiscalização e contraordenações rodoviárias 2020.xlsx",xlsx,True
2020,"Relatório Anual de Sinistralidade a 30 dias, fiscalização e contraordenações rodoviárias 2020","http://www.ansr.pt/Estatisticas/RelatoriosDeSinistralidade/Documents/2020/Relatório Anual de Sinistralidade a 30 dias, fiscalização e contraordenações rodoviárias 2020.pdf","Relatório Anual de Sinistralidade a 30 dias, fiscalização e contraordenações rodoviárias 2020.pdf",pdf,False
2020,Relatório Anual de Sinistralidade a 24 horas e fiscalização rodoviária 2020,"http://www.ansr.pt/Estatisticas/RelatoriosDeSinistralidade/Documents/2020/Relatório Anual de Sinistralidade a 24h, fiscalização e contraordenações rodoviárias 2020.pdf","Relatório Anual de Sinistralidade a 24h, fiscalização e contraordenações rodoviárias 2020.pdf",pdf,False
2019,Relatório Anual de Sinistralidade Rodoviária 2019,http://www.ansr.pt/Estatisticas/RelatoriosDeSinistralidade/Documents/2019/Relatório Anual Sinistralidade Rodoviária 2019.pdf,Relatório Anual Sinistralidade Rodoviária 2019.pdf,pdf,False
