year,entidade_gestora,estrada,km,relatorio_data,estado_intervencao
2021,"Infraestruturas de Portugal, SA",EN 10,"Km 14,100 ao km 14,300",SET.2023,Não Implementadas
2022,Município Porto,A 28,"Km 3,500 ao Km 3,600 Cres.",08-08-2025,Não Implementadas
2022,Concessão Norte Litoral,A 28,"Km 6,200 ao Km 6,400 Dec.",08-08-2025,Não Implementadas
2022,Lusoponte,A 2,"Km 2,900 ao 3,050 Cres.",08-06-2025,Parcialmente implementadas
2022,Lusoponte,A 2,"Km 5,550 ao 5,700 Dec.",08-06-2025,Parcialmente implementadas
2022,"Infraestruturas de Portugal, SA",A 20,"Km 12,300 ao Km 12,500 Dec.",08-08-2025,Parcialmente implementadas
2022,"Infraestruturas de Portugal, SA",A 20,"Km 12,400 ao Km 12,500 Cres.",08-08-2025,Parcialmente implementadas
2022,"Infraestruturas de Portugal, SA",A 20,"Km 15,700 ao Km 15,900 Cres.",08-08-2025,Parcialmente implementadas
2022,"Infraestruturas de Portugal, SA",EN 10,"Km 128,340 ao Km 128,500",08-06-2025,Não Implementadas
2022,"Infraestruturas de Portugal, SA",EN 10,"Km 128,700 ao Km 128,900",08-06-2025,Não Implementadas
2022,"Infraestruturas de Portugal, SA",EN 10,"Km 139,100 ao Km 139,300",08-06-2025,Não Implementadas
2022,"Infraestruturas de Portugal, SA",EN 125,"Km 115,900 ao Km 116,049",08-08-2025,Não Implementadas
2022,"Infraestruturas de Portugal, SA",EN 14,"Km 20,600 ao Km 20,800",08-08-2025,Não Implementadas
2022,"Infraestruturas de Portugal, SA",EN249-4,"km 4,700 ao km 4,900",08-06-2025,Não Implementadas
2022,"Infraestruturas de Portugal, SA",EN 6,"km 4.900 ao km 5,100",08-06-2025,Não Implementadas
2022,"Infraestruturas de Portugal, SA",EN 9,"Km 16,936 ao km 17,050",08-06-2025,Não Implementadas
2022,"Infraestruturas de Portugal, SA",IC 17,"Km 4,900 ao km 5,100 Cres.",08-06-2025,Não Implementadas
2022,"Infraestruturas de Portugal, SA",IC 17,"Km 5,200 Ao km 5,400 Cres.",08-06-2025,Não Implementadas
2022,"Infraestruturas de Portugal, SA",IC 17,"Km 13,500 ao 13,700",08-06-2025,Não Implementadas
2022,"Infraestruturas de Portugal, SA",IC19,"Km 3,800 ao 4,000 Dec.",08-06-2025,Não Implementadas
2022,"Infraestruturas de Portugal, SA",IC19,"Km 6,000 ao 6,200 Dec.",08-06-2025,Não Implementadas
2022,"Infraestruturas de Portugal, SA",IC 19,"Km 6,800 ao 7,000 Cres.",08-06-2025,Não Implementadas
2022,"Infraestruturas de Portugal, SA",IC 19,"Km 7,800 ao 8,000 Dec.",08-06-2025,Não Implementadas
2022,"Infraestruturas de Portugal, SA",IC 19,"Km 13,000 ao 13,200 Cres.",08-06-2025,Não Implementadas
2022,"Infraestruturas de Portugal, SA",IC 2,Km 190+400 ao 190+500 Dec.,02-06-2025,Parcialmente implementadas
2022,"Infraestruturas de Portugal, SA",IP 7,"Km 7,000 ao 7,200 Dec.",08-06-2025,Não Implementadas
