distrito,ano,concelho,acidentes_com_vitimas,vitimas_mortais,feridos_graves,feridos_leves,total_vitimas,indice_gravidade,source_file
Aveiro,2004,Agueda,246,10,37,275,322,4.1,Aveiro 2004.pdf
Aveiro,2004,Albergaria-a-Velha,168,4,10,208,222,2.4,Aveiro 2004.pdf
Aveiro,2004,Anadia,176,5,23,199,227,2.8,Aveiro 2004.pdf
Aveiro,2004,Arouca,54,3,7,59,69,5.6,Aveiro 2004.pdf
Aveiro,2004,Aveiro,423,1,40,502,543,0.2,Aveiro 2004.pdf
Aveiro,2004,Castelo de Paiva,45,0,0,58,58,0.0,Aveiro 2004.pdf
Aveiro,2004,Espinho,99,3,9,108,120,3.0,Aveiro 2004.pdf
Aveiro,2004,Estarreja,147,3,17,172,192,2.0,Aveiro 2004.pdf
Aveiro,2004,Ilhavo,212,6,12,255,273,2.8,Aveiro 2004.pdf
Aveiro,2004,Mealhada,101,2,17,127,146,2.0,Aveiro 2004.pdf
Aveiro,2004,Murtosa,42,1,4,52,57,2.4,Aveiro 2004.pdf
Aveiro,2004,Oliveira de Azemeis,210,6,19,230,255,2.9,Aveiro 2004.pdf
Aveiro,2004,Oliveira do Bairro,148,1,8,173,182,0.7,Aveiro 2004.pdf
Aveiro,2004,Ovar,221,8,19,293,320,3.6,Aveiro 2004.pdf
Aveiro,2004,Santa Maria da Feira,552,9,32,732,773,1.6,Aveiro 2004.pdf
Aveiro,2004,S. João da Madeira,51,5,9,56,70,9.8,Aveiro 2004.pdf
Aveiro,2004,Sever do Vouga,56,0,0,70,70,0.0,Aveiro 2004.pdf
Aveiro,2004,Vagos,153,3,0,196,199,2.0,Aveiro 2004.pdf
Aveiro,2004,Vale de Cambra,68,1,4,74,79,1.5,Aveiro 2004.pdf
Beja,2004,Aljustrel,50,3,7,67,77,6.0,Beja 2004.pdf
Beja,2004,Almodôvar,40,4,15,43,62,10.0,Beja 2004.pdf
Beja,2004,Alvito,4,0,0,6,6,0.0,Beja 2004.pdf
Beja,2004,Barrancos,2,0,1,1,2,0.0,Beja 2004.pdf
Beja,2004,Beja,140,7,18,216,241,5.0,Beja 2004.pdf
Beja,2004,Castro Verde,25,1,5,40,46,4.0,Beja 2004.pdf
Beja,2004,Cuba,11,0,3,10,13,0.0,Beja 2004.pdf
Beja,2004,Ferreira. do Alentejo,53,3,12,62,77,5.7,Beja 2004.pdf
Beja,2004,Mértola,29,2,4,33,39,6.9,Beja 2004.pdf
Beja,2004,Moura,39,1,8,43,52,2.6,Beja 2004.pdf
Beja,2004,Odemira,93,1,19,103,123,1.1,Beja 2004.pdf
Beja,2004,Ourique,57,8,14,93,115,14.0,Beja 2004.pdf
Beja,2004,Serpa,32,1,0,40,41,3.1,Beja 2004.pdf
Beja,2004,Vidigueira,18,0,3,16,19,0.0,Beja 2004.pdf
Braga,2004,Amares,82,5,11,99,115,6.1,Braga 2004.pdf
Braga,2004,Barcelos,396,9,28,538,575,2.3,Braga 2004.pdf
Braga,2004,Braga,569,12,60,718,790,2.1,Braga 2004.pdf
Braga,2004,Cabeceiras de Basto,50,4,0,61,65,8.0,Braga 2004.pdf
Braga,2004,Celorico de Basto,64,3,7,86,96,4.7,Braga 2004.pdf
Braga,2004,Esposende,161,4,11,191,206,2.5,Braga 2004.pdf
Braga,2004,Fafe,193,6,8,260,274,3.1,Braga 2004.pdf
Braga,2004,Guimarães,501,18,71,587,676,3.6,Braga 2004.pdf
Braga,2004,P. de Lanhoso,112,1,14,148,163,0.9,Braga 2004.pdf
Braga,2004,Terras de Bouro,19,0,2,31,33,0.0,Braga 2004.pdf
Braga,2004,Vieira do Minho,50,5,7,61,73,10.0,Braga 2004.pdf
