,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,<=5,6-9,,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,>=75,
Feminino,4,7,,7,12,5,2,8,10,9,11,19,14,20,12,13,49,
Masculino,5,10,,12,12,1,3,10,13,9,19,18,15,17,20,11,51,
