,,TOTAL DE VÍTIMAS,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,<=14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,>=65,N.D.,TOTAL
,,,,,,,,,,,,,,,
,2014,721,438,306,203,210,267,279,274,334,341,333,1644,4,5354
Peões,2015,672,426,286,185,215,233,249,310,351,388,404,1675,5,5399
,15-14,-49,-12,-20,-18,5,-34,-30,36,17,47,71,31,1,45
,2014,1525,1414,3073,2446,2232,2276,2039,1862,1667,1393,1223,3314,29,24493
Veíc. Ligeiros *,2015,1613,1508,3191,2403,2275,2204,2061,1881,1736,1534,1361,3615,16,25398
,15-14,88,94,118,-43,43,-72,22,19,69,141,138,301,-13,905
,2014,48,15,21,27,38,59,55,67,77,57,43,51,1,559
Veíc. Pesados *,2015,31,15,36,35,63,50,78,75,87,72,45,66,0,653
,15-14,-17,0,15,8,25,-9,23,8,10,15,2,15,-1,94
,2014,175,183,134,89,139,167,176,146,159,129,91,255,2,1845
Velocípedes *,2015,165,207,110,112,162,186,192,175,161,118,91,283,1,1963
,15-14,-10,24,-24,23,23,19,16,29,2,-11,0,28,-1,118
,2014,28,289,163,145,158,191,224,279,257,268,203,597,4,2806
Ciclomotores *,2015,35,308,212,151,118,216,238,281,284,259,213,621,7,2943
,15-14,7,19,49,6,-40,25,14,2,27,-9,10,24,3,137
,2014,27,372,417,538,593,638,477,326,246,182,100,120,1,4037
Motociclos *,2015,44,430,475,620,648,639,530,427,321,175,131,166,3,4609
,15-14,17,58,58,82,55,1,53,101,75,-7,31,46,2,572
,2014,18,28,23,24,27,33,28,30,32,27,42,247,0,559
Outros *,2015,21,28,34,26,30,28,23,39,38,38,32,244,3,584
,15-14,3,0,11,2,3,-5,-5,9,6,11,-10,-3,3,25
,2014,2542,2739,4137,3472,3397,3631,3278,2984,2772,2397,2035,6228,41,39653
TOTAL,2015,2581,2922,4344,3532,3511,3556,3371,3188,2978,2584,2277,6670,35,41549
,15-14,39,183,207,60,114,-75,93,204,206,187,242,442,-6,1896
