,<=4 anos,,5 a 9 anos,,10 a 14 anos,,15 a 19 anos,,>=20 anos,,N.D.,,TOTAL,
,,,,,,,,,,,,,,
,2014,2015,2014,2015,2014,2015,2014,2015,2014,2015,2014,2015,2014,2015
,,,,,,,,,,,,,,
Veíc. Ligeiros,4996,4774,8642,8668,9899,9860,8898,10383,4943,5830,531,407,37909,39922
Veíc. Pesados,248,187,476,472,391,455,268,295,136,184,25,21,1544,1614
Ciclomotores,455,423,1156,1207,226,217,314,322,497,622,39,25,2687,2816
Motociclos,1418,1513,842,1081,691,674,534,642,374,511,46,44,3905,4465
TOTAL,7117,6897,11116,11428,11207,11206,10014,11642,5950,7147,641,497,46045,48817
