,FERIDOS LEVES,,,,,,,
,,,,,,,,
,,,,,,,,
,Feminino,,Masculino,,N.D.,,TOTAL,
,,,,,,,,
,,,,,,,,
,2014,2015,2014,2015,2014,2015,2014,2015
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
<=14,765,844,825,851,4,0,1594,1695
15-19,574,593,434,459,0,0,1008,1052
20-24,594,616,477,501,1,0,1072,1117
25-29,443,400,293,298,0,0,736,698
30-34,374,376,208,227,0,0,582,603
35-39,344,350,200,174,0,0,544,524
40-44,320,326,139,159,0,0,459,485
45-49,371,373,155,160,0,0,526,533
50-54,402,393,128,136,0,0,530,529
55-59,355,408,135,125,0,0,490,533
60-64,376,363,123,127,1,0,500,490
65-69,346,375,86,92,0,0,432,467
70-74,333,301,74,83,0,0,407,384
>=75,482,525,157,163,0,0,639,688
N.D.,6,6,5,3,2,0,13,9
TOTAL,6085,6249,3439,3558,8,0,9532,9807
