,Vítimas,,Feridos,,Feridos,,Total de,
,mortais,,graves,,leves,,vítimas,
,2014,2015,2014,2015,2014,2015,2014,2015
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
2ª feira,60,50,139,173,3336,3724,3535,3947
3ª feira,52,34,142,146,3263,3454,3457,3634
4ª feira,59,44,160,160,3363,3464,3582,3668
5ª feira,54,46,180,182,3197,3518,3431,3746
6ª feira,41,48,179,197,3527,3635,3747,3880
Sábado,63,69,221,238,3148,3318,3432,3625
Domingo,68,72,202,196,2844,3063,3114,3331
TOTAL,397,363,1223,1292,22678,24176,24298,25831
