,Acidentes,,Vítimas,,Feridos,,Feridos,,Total de,,Índice de,
,c/ vítimas,,mortais,,graves,,leves,,vítimas,,gravidade,
,,,,,,,,,,,,
,2014,2015,2014,2015,2014,2015,2014,2015,2014,2015,2014,2015
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Bom tempo,22343,26034,515,509,1591,1878,26763,31281,28869,33668,"2,3","2,0"
Chuva,7924,5522,113,75,397,238,9804,7015,10314,7328,"1,4","1,4"
Outros,206,298,10,8,19,27,278,378,307,413,"4,9","2,7"
N.D.,131,99,0,1,3,5,160,134,163,140,"0,0","1,0"
TOTAL,30604,31953,638,593,2010,2148,37005,38808,39653,41549,"2,1","1,9"
