,,FERIDOS LEVES,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,<=14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,>=65,N.D.,TOTAL
,,,,,,,,,,,,,,,
,2014,680,409,281,192,191,249,252,252,298,298,296,1393,4,4795
Peões,2015,623,399,278,179,194,204,226,273,305,351,352,1438,3,4825
,15-14,-57,-10,-3,-13,3,-45,-26,21,7,53,56,45,-1,30
,2014,1484,1352,2911,2336,2147,2181,1937,1778,1585,1323,1166,3086,26,23312
Veíc. Ligeiros *,2015,1569,1433,3043,2287,2183,2128,1976,1799,1639,1457,1286,3374,16,24190
,15-14,85,81,132,-49,36,-53,39,21,54,134,120,288,-10,878
,2014,48,15,21,26,36,57,47,63,66,53,38,50,1,521
Veíc. Pesados *,2015,30,13,33,31,56,44,68,64,74,63,38,63,0,577
,15-14,-18,-2,12,5,20,-13,21,1,8,10,0,13,-1,56
,2014,158,171,131,85,130,159,163,127,149,120,84,226,2,1705
Velocípedes *,2015,149,190,104,105,156,175,178,157,142,109,86,254,1,1806
,15-14,-9,19,-27,20,26,16,15,30,-7,-11,2,28,-1,101
,2014,28,270,151,136,148,181,204,252,231,242,187,547,4,2581
Ciclomotores *,2015,34,294,198,141,108,199,219,255,258,230,198,568,7,2709
,15-14,6,24,47,5,-40,18,15,3,27,-12,11,21,3,128
,2014,26,348,381,487,528,571,423,293,215,158,92,112,1,3635
Motociclos *,2015,39,405,433,573,583,580,486,383,287,166,117,155,3,4210
,15-14,13,57,52,86,55,9,63,90,72,8,25,43,2,575
,2014,13,20,19,18,23,27,24,25,24,22,39,202,0,456
Outros *,2015,16,25,26,20,28,24,18,33,32,33,26,208,2,491
,15-14,3,5,7,2,5,-3,-6,8,8,11,-13,6,2,35
,2014,2437,2585,3895,3280,3203,3425,3050,2790,2568,2216,1902,5616,38,37005
TOTAL,2015,2460,2759,4115,3336,3308,3354,3171,2964,2737,2409,2103,6060,32,38808
,15-14,23,174,220,56,105,-71,121,174,169,193,201,444,-6,1803
