,<=14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,>=65,TOTAL
,,,,,,,,,,,,,
,1382547,527829,511855,523816,604676,721031,766699,717428,719727,671319,624559,2067654,9839140
População,,,,,,,,,,,,,
,,,,,,,,,,,,,
,13,25,31,38,34,44,42,45,49,38,55,177,593
Vítimas Mortais,,,,,,,,,,,,,
,,,,,,,,,,,,,
,9,47,61,73,56,61,55,63,68,57,88,86,60
VM/Milhão hab.,,,,,,,,,,,,,
,,,,,,,,,,,,,
