,TOTAL DE VÍTIMAS,,,,,,,
,,,,,,,,
,,,,,,,,
,Feminino,,Masculino,,N.D.,,TOTAL,
,,,,,,,,
,,,,,,,,
,2014,2015,2014,2015,2014,2015,2014,2015
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
<=14,15,10,166,148,0,0,181,158
15-19,273,321,971,1061,1,2,1245,1384
20-24,1007,1058,1683,1808,5,3,2695,2869
25-29,970,963,1528,1655,0,0,2498,2618
30-34,1000,990,1576,1664,2,1,2578,2655
35-39,1026,1044,1766,1730,2,3,2794,2777
40-44,998,1019,1510,1595,3,1,2511,2615
45-49,790,863,1361,1451,5,1,2156,2315
50-54,656,731,1218,1336,3,0,1877,2067
55-59,477,545,1070,1094,2,2,1549,1641
60-64,338,386,845,964,2,0,1185,1350
65-69,222,242,714,836,1,1,937,1079
70-74,148,148,666,731,2,0,816,879
>=75,106,143,1144,1259,4,1,1254,1403
N.D.,2,2,10,10,10,9,22,21
TOTAL,8028,8465,16228,17342,42,24,24298,25831
