,Vítimas,,Feridos,,Feridos,,Total,,Total,
,mortais,,graves,,leves,,vítimas,,intervenientes,
,2014,2015,2014,2015,2014,2015,2014,2015,2014,2015
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Veíc. Ligeiros,193,195,594,594,14786,15477,15573,16266,37801,39857
Veíc. Pesados,9,10,24,35,242,249,275,294,1542,1611
Velocípedes,35,25,105,130,1688,1773,1828,1928,1913,2025
Ciclomotores,38,42,166,178,2350,2466,2554,2686,2686,2815
Motociclos,89,72,287,299,3268,3865,3644,4236,3905,4465
Outros,33,19,47,56,344,346,424,421,674,713
N.D.,0,0,0,0,0,0,0,0,5,7
TOTAL,397,363,1223,1292,22678,24176,24298,25831,48526,51493
