,,Vítimas,,Feridos,,Feridos,,Total de,
,,mortais,,graves,,leves,,vítimas,
,,2014,2015,2014,2015,2014,2015,2014,2015
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Dia,65,72,243,278,3347,3497,3655,3847
,Noite,71,64,156,132,1261,1163,1488,1359
TOTAL,Aurora/crepúsculo,9,10,13,18,167,154,189,182
,N.D.,0,0,2,0,20,11,22,11
,TOTAL,145,146,414,428,4795,4825,5354,5399
