,,Vítimas,,Feridos,,Feridos,,Total de,
,,mortais,,graves,,leves,,vítimas,
,,2014,2015,2014,2015,2014,2015,2014,2015
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Jan,11,15,35,37,443,435,489,487
,Fev,8,7,41,25,393,355,442,387
,Mar,11,10,29,29,364,400,404,439
,,,,,,,,,
,Abr,5,8,16,30,324,319,345,357
,,,,,,,,,
,Mai,8,8,33,29,376,414,417,451
,,,,,,,,,
,Jun,8,8,23,33,320,355,351,396
Dentro das,,,,,,,,,
,Jul,9,4,24,36,350,395,383,435
localidades,,,,,,,,,
,Ago,7,4,26,30,330,319,363,353
,,,,,,,,,
,Set,8,14,27,37,399,402,434,453
,Out,10,8,42,30,417,435,469,473
,Nov,17,11,41,47,521,430,579,488
,Dez,13,14,48,38,442,466,503,518
,TOTAL,115,111,385,401,4679,4725,5179,5237
,Jan,5,2,2,3,8,8,15,13
,Fev,2,2,4,4,9,8,15,14
,Mar,4,2,3,1,12,12,19,15
,,,,,,,,,
,Abr,2,0,1,3,9,7,12,10
,,,,,,,,,
,Mai,2,8,0,7,6,7,8,22
,,,,,,,,,
,Jun,1,2,1,1,9,6,11,9
Fora das,,,,,,,,,
,Jul,3,2,1,0,9,6,13,8
localidades,,,,,,,,,
,Ago,3,2,3,1,12,13,18,16
,,,,,,,,,
,Set,0,2,3,1,11,13,14,16
,Out,1,3,4,1,6,6,11,10
,Nov,1,4,4,4,10,10,15,18
,Dez,6,6,3,1,15,4,24,11
,TOTAL,30,35,29,27,116,100,175,162
