,,Vítimas,,Feridos,,Feridos,,Total de,
,,mortais,,graves,,leves,,vítimas,
,,,,,,,,,
,,2014,2015,2014,2015,2014,2015,2014,2015
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,A sair ou entrar num veículo,2,4,8,2,114,87,124,93
,,,,,,,,,
,,,,,,,,,
,Atravessando em passagem sinalizada,27,28,144,137,1990,2076,2161,2241
,,,,,,,,,
,,,,,,,,,
,Atravessando em passagem sinalizada com desrespeito,2,2,6,6,90,121,98,129
,da sinalização semafórica,,,,,,,,
,Atravessando fora da passagem de peões a mais de 50m,18,12,45,32,374,371,437,415
,,,,,,,,,
,de uma passagem ou quando não exista passagem,,,,,,,,
,,,,,,,,,
,"Atravessando fora da passagem de peões, a menos de",21,21,57,72,583,590,661,683
,,,,,,,,,
,50m de uma passagem,,,,,,,,
,,,,,,,,,
,Em ilhéu ou refúgio na via,0,0,1,4,38,40,39,44
,,,,,,,,,
,,,,,,,,,
,Em plena faixa de rodagem,23,22,46,55,535,498,604,575
Dentro das,,,,,,,,,
,,,,,,,,,
localidades,Em trabalhos na via,0,0,1,4,29,33,30,37
,,,,,,,,,
,,,,,,,,,
,N.D.,3,1,5,6,61,40,69,47
,,,,,,,,,
,Surgindo inesperadamente na faixa de rodagem de trás,2,5,19,30,258,270,279,305
,de um obstáculo,,,,,,,,
,Transitando pela berma ou passeio,11,6,38,29,367,385,416,420
,,,,,,,,,
,Transitando pela direita da faixa de rodagem,3,7,7,13,176,158,186,178
,,,,,,,,,
,Transitando pela esquerda da faixa de rodagem,3,3,8,11,64,56,75,70
,,,,,,,,,
,TOTAL,115,111,385,401,4679,4725,5179,5237
,,,,,,,,,
,A sair ou entrar num veículo,1,0,0,2,6,2,7,4
,,,,,,,,,
,,,,,,,,,
,Atravessando em passagem sinalizada,0,0,2,1,7,4,9,5
,,,,,,,,,
,,,,,,,,,
,Atravessando em passagem sinalizada com desrespeito,0,0,0,0,2,2,2,2
,da sinalização semafórica,,,,,,,,
,Atravessando fora da passagem de peões a mais de 50m,5,7,5,4,16,9,26,20
,,,,,,,,,
,de uma passagem ou quando não exista passagem,,,,,,,,
,,,,,,,,,
,"Atravessando fora da passagem de peões, a menos de",1,1,1,0,4,2,6,3
,,,,,,,,,
,50m de uma passagem,,,,,,,,
,,,,,,,,,
,Em ilhéu ou refúgio na via,0,0,0,1,1,1,1,2
,,,,,,,,,
,,,,,,,,,
,Em plena faixa de rodagem,14,14,11,9,36,23,61,46
Fora das,,,,,,,,,
,,,,,,,,,
localidades,Em trabalhos na via,0,2,0,1,5,11,5,14
,,,,,,,,,
,,,,,,,,,
,N.D.,0,0,1,0,2,0,3,0
,,,,,,,,,
,Surgindo inesperadamente na faixa de rodagem de trás,3,2,1,2,7,9,11,13
,de um obstáculo,,,,,,,,
,Transitando pela berma ou passeio,5,7,4,6,17,24,26,37
,,,,,,,,,
,Transitando pela direita da faixa de rodagem,1,1,3,1,11,5,15,7
,,,,,,,,,
,Transitando pela esquerda da faixa de rodagem,0,1,1,0,2,8,3,9
,,,,,,,,,
,TOTAL,30,35,29,27,116,100,175,162
,,,,,,,,,
