,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,<=14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,,65-69,70-74,>=75
Feminino,12,439,1610,1619,1756,1968,1910,1566,1270,912,658,,444,262,223
Masculino,155,1493,3424,3180,3366,3654,3502,3231,3015,2630,2208,,1789,1500,2266
