,Vítimas,,Feridos,,Feridos,,Total de,
,mortais,,graves,,leves,,vítimas,
,,,,,,,,
,2014,2015,2014,2015,2014,2015,2014,2015
,,,,,,,,
,,,,,,,,
,,,,,,,,
Abertura de porta,0,0,0,2,16,10,16,12
Ausência de luzes quando obrigatórias,0,1,1,2,6,8,7,11
Circulação afastada da berma ou passeio,1,0,5,1,23,29,29,30
Desrespeito da sinalização semafórica,3,1,4,4,70,101,77,106
Desrespeito da sinalização vertical,7,2,17,28,423,507,447,537
Desrespeito das distâncias de segurança,0,3,8,14,303,365,311,382
Desrespeito das marcas rodoviárias,1,1,10,8,55,65,66,74
Encandeamento,0,1,1,2,93,104,94,107
Falha mecânica do veículo,3,1,6,6,59,71,68,78
Manobra irregular,9,8,26,24,448,458,483,490
N.D.,4,1,10,10,204,207,218,218
Não identificada,337,313,1019,1088,18883,20428,20239,21829
Não sinalização da manobra,1,0,1,1,24,19,26,20
Obstáculo imprevisto na faixa de rodagem,0,1,14,17,337,292,351,310
Queda de carga ou objecto,0,0,0,1,9,9,9,10
Rebentamento de pneumático,0,4,4,8,67,55,71,67
Velocidade excessiva para as condições existentes,31,26,97,76,1658,1448,1786,1550
TOTAL,397,363,1223,1292,22678,24176,24298,25831
