,Vítimas,,Feridos,,Feridos,,Total,,Total,
,mortais,,graves,,leves,,vítimas,,intervenientes,
,2014,2015,2014,2015,2014,2015,2014,2015,2014,2015
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
< 1 ano,7,2,52,58,875,1247,934,1307,1776,2447
1 a 5 anos,63,67,281,243,5981,6265,6325,6575,13116,13515
6 a 10 anos,38,34,138,156,3024,3304,3200,3494,6713,7160
11 a 20 anos,82,64,244,240,5152,5049,5478,5353,10824,10825
> 20 anos,147,154,325,384,5165,5799,5637,6337,11149,12477
N.D.,2,5,33,27,518,462,553,494,2602,2602
TOTAL,339,326,1073,1108,20715,22126,22127,23560,46180,49026
