,Acidentes,,Vítimas,,Feridos,,Feridos,,Total de,,Índice de,
,c/ vítimas,,mortais,,graves,,leves,,vítimas,,gravidade,
,,,,,,,,,,,,
,2014,2015,2014,2015,2014,2015,2014,2015,2014,2015,2014,2015
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Dia,22067,23385,400,353,1296,1421,26797,28490,28493,30264,"1,8","1,5"
Noite,7509,7494,201,196,639,631,8993,9061,9833,9888,"2,7","2,6"
Aurora/crepúsculo,963,1022,37,44,72,95,1140,1195,1249,1334,"3,8","4,3"
N.D.,65,52,0,0,3,1,75,62,78,63,"0,0","0,0"
TOTAL,30604,31953,638,593,2010,2148,37005,38808,39653,41549,"2,1","1,9"
