,Acidentes,,Acidentes,,Acidentes,,Vítimas,,Feridos,,Feridos,,Total,,Índice
,com,% *,c/ v.mortais,% *,com,% *,,% *,,% *,,% *,de,% *,de
,vítimas,,e/ou f.graves,,v.mortais,,mortais,,graves,,leves,,feridos,,grav.
,,,,,,,,,,,,,,,
2010,35426,-,2832,-,857,-,937,-,2475,-,43890,-,46365,-,"2,6"
2011,32541,"-8,1",2670,"-5,7",826,"-3,6",891,"-4,9",2265,"-8,5",39695,"-9,6",41960,"-9,5","2,7"
2012,29867,"-8,2",2289,"-14,3",667,"-19,2",718,"-19,4",1941,"-14,3",36164,"-8,9",38105,"-9,2","2,4"
2013,30339,"1,6",2202,"-3,8",585,"-12,3",637,"-11,3",1946,"0,3",36807,"1,8",38753,"1,7","2,1"
2014,30604,"0,9",2331,"5,9",603,"3,1",638,"0,2",2010,"3,3",37005,"0,5",39015,"0,7","2,1"
2015,31953,"4,4",2374,"1,8",554,"-8,1",593,"-7,1",2148,"6,9",38808,"4,9",40956,"5,0","1,9"
